Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 109     5.946  -11515247.525  42078791  -0.00003   0.00357
 110     6.056  -11515328.251  43676920   0.00175  -0.00191
 111     6.076  -11515245.049  44019551  -0.00073  -0.00437
 112     6.156  -11515077.467  43977090  -0.00659  -0.00117
 113     6.106  -11514938.952  45205193  -0.00126  -0.00789
 114     6.196  -11514904.980  45109925  -0.00440  -0.00399
 115     5.926  -11515040.868  45194049  -0.00189  -0.00406
 116     5.786  -11515128.251  45610240   0.00105  -0.00579
 117     5.876  -11515281.652  42652938  -0.01108   0.00467
 118     6.056  -11515131.230  43168180  -0.00231   0.00208
 119     6.146  -11515036.217  45006330  -0.00617  -0.00579
 120     6.096  -11515118.852  43721336  -0.00387  -0.00092
 121     6.076  -11515350.120  45518946   0.00720  -0.00665
 122     6.126  -11515200.619  44110266   0.00281  -0.00260
 123     5.956  -11515163.512  43952038   0.00676  -0.00079
 124     5.916  -11515404.888  43067869   0.00327   0.00068
 125     5.976  -11515277.869  43549906  -0.00191   0.00078
 126     5.966  -11515345.865  42946126  -0.00535   0.00370
 127     6.006  -11515345.805  41404623   0.00105   0.00894
 128     5.986  -11515293.457  43592925   0.00451  -0.00081
 129     6.116  -11515326.974  41742970   0.00228   0.00410
 130     5.936  -11515200.999  44394629  -0.00402  -0.00239
 131     5.966  -11515495.650  41490094   0.00574   0.00866
 132     6.066  -11515203.632  43264938  -0.00232   0.00229
 133     6.006  -11515314.544  41416546   0.00118   0.00604
 134     5.976  -11515393.566  44925197   0.00404  -0.00209
 135     6.076  -11515417.805  41955348   0.00391   0.00550
 136     6.126  -11515188.656  42342861  -0.00297   0.00395
 137     5.966  -11515504.735  40055706  -0.00236   0.01267
 138     6.006  -11515376.613  41917579  -0.00235   0.00576
 139     5.846  -11515153.542  44598845   0.00093  -0.00074
 140     6.016  -11515192.884  43238484   0.00370   0.00158
 141     5.986  -11515444.659  41430245   0.00181   0.00856
 142     5.976  -11515506.901  42340617   0.01116   0.00494
 143     5.976  -11515336.266  42984503   0.00651   0.00274
 144     5.886  -11515182.054  45511195   0.00440  -0.00650
 145     6.086  -11515155.524  43066652  -0.00405   0.00166
 146     5.856  -11515268.278  44976527   0.00216  -0.00553
 147     5.916  -11515272.369  43282229  -0.00120   0.00043
 148     6.076  -11515045.208  43235020  -0.00062   0.00029
 149     5.996  -11515316.446  42233888   0.00047   0.00338
 150     6.036  -11515192.520  44041197   0.00359   0.00002
 151     5.906  -11515359.412  43752741   0.00262  -0.00241
 152     5.956  -11515277.289  44479182   0.00234  -0.00196
 153     5.776  -11515263.827  43880677   0.00299   0.00092
 154     5.956  -11515257.504  42598494  -0.00072   0.00358
 155     6.046  -11515106.687  45693961  -0.00427  -0.00933
 156     5.846  -11515353.329  41616808  -0.00134   0.00911
 157     5.856  -11515262.611  45087462   0.00251  -0.00178
 158     5.996  -11515254.254  42915922   0.00022   0.00373
 159     6.086  -11515131.468  45612862  -0.00548  -0.00737
 160     6.226  -11515091.800  42660402  -0.01172   0.00228
 161     6.316  -11515208.393  42523730  -0.00296   0.00051
 162     6.106  -11515423.071  41068757  -0.00249   0.00985
 163     6.036  -11515322.096  42427342   0.00314   0.00248
 164     5.936  -11515209.831  43760190  -0.00357  -0.00046
 165     6.026  -11515130.579  44531099  -0.00067  -0.00299
 166     6.096  -11515351.410  41406150  -0.00159   0.00676
 167     6.046  -11515232.533  43490937   0.00494   0.00368
 168     5.896  -11515475.461  43138992   0.01001   0.00342
 169     5.946  -11515472.166  41224256  -0.00519   0.00961
 170     5.926  -11515263.695  43296488   0.00262  -0.00106
 171     5.866  -11515432.275  42704383  -0.00344   0.00420
 172     5.976  -11515301.809  41222761  -0.00356   0.00691
 173     5.956  -11515478.727  39891993  -0.00671   0.01376
 174     5.986  -11515299.249  42697314  -0.00350   0.00335
 175     6.056  -11515374.072  41617553  -0.00947   0.00701
 176     6.006  -11515423.240  40781408  -0.00537   0.01123
 177     6.176  -11515116.107  43488943  -0.00954  -0.00132
 178     5.916  -11515241.930  43218735  -0.00275   0.00162
 179     6.026  -11515234.793  43636190   0.00271   0.00117
 180     5.966  -11515234.664  45187601   0.00078  -0.00657
 181     6.086  -11515360.525  42140396   0.00035   0.00497
 182     5.896  -11515162.589  45748219   0.00653  -0.00827
 183     5.986  -11515458.458  40141263   0.00157   0.01174
 184     5.936  -11515381.724  43329766   0.00232   0.00096
 185     5.946  -11515383.355  40873624   0.00091   0.01006
 186     5.796  -11515388.871  45503481   0.00724  -0.00710
 187     5.826  -11515274.846  44640745  -0.00338  -0.00356
 188     5.966  -11515116.410  47816646   0.00240  -0.01087
 189     5.896  -11515321.338  43255900  -0.00190   0.00083
 190     5.786  -11515308.725  44434240   0.00553  -0.00035
 191     6.136  -11515160.028  43432091  -0.00165   0.00126
 192     5.996  -11515088.199  46526981   0.00346  -0.01220
 193     6.116  -11515249.632  42708925   0.00178   0.00367
 194     5.986  -11515257.270  43559257  -0.00128  -0.00301
 195     6.086  -11515196.005  43357673   0.00500   0.00039
 196     5.986  -11515343.109  43503377  -0.00074  -0.00099
 197     5.856  -11515533.687  41464976   0.00186   0.00764
 198     5.886  -11515247.329  44377800   0.00155  -0.00077
 199     5.986  -11515242.611  42186224  -0.00431   0.00273
 200     5.976  -11515169.031  43289451  -0.00416   0.00258
 201     6.106  -11515332.749  42332812   0.00575   0.00334
 202     6.046  -11515133.776  44258250  -0.00041  -0.00399
 203     6.046  -11515398.345  41024107   0.00031   0.01025
 204     6.016  -11515270.080  42074922  -0.00035   0.00453
 205     6.136  -11515260.843  42218335   0.00114   0.00533
 206     5.966  -11515442.829  41716417  -0.00263   0.00565
 207     6.086  -11515115.502  42643663  -0.00440   0.00019
 208     6.016  -11515445.620  42437728   0.00848   0.00368
 209     5.916  -11515060.174  45352827   0.00087  -0.00595
 210     6.086  -11514870.294  46316464   0.00022  -0.00860
 211     6.046  -11515176.949  42120657  -0.00186   0.00708
 212     5.916  -11515340.458  43059170   0.00140   0.00114
 213     6.146  -11515408.315  42128191  -0.00023   0.00721
 214     5.826  -11515154.698  44615587   0.00158  -0.00169
 215     5.986  -11515312.917  44034660  -0.00294  -0.00144
 216     5.856  -11515345.472  42877682   0.00424   0.00440
 217     6.036  -11515486.028  43438921  -0.00455   0.00232
 218     6.026  -11515424.671  42609471   0.00221   0.00594
 219     5.886  -11515203.443  43474056   0.00076   0.00086
 220     6.176  -11515302.908  40106950   0.00081   0.01092
 221     5.986  -11515235.233  43647307   0.00311  -0.00043
 222     6.046  -11515126.557  43722496  -0.00001  -0.00082
 223     5.956  -11515274.352  43826329  -0.00529  -0.00062
 224     6.076  -11515314.767  43537382   0.00441  -0.00262
 225     5.856  -11515065.184  44971276  -0.00526  -0.00271
 226     5.986  -11515120.906  44787037   0.00322  -0.00471
 227     5.866  -11515139.492  44452672   0.00336  -0.00259
 228     6.016  -11515201.257  42821398   0.00641   0.00092
 229     5.986  -11515148.878  43638656   0.00095   0.00021
 230     6.076  -11515079.227  42324272  -0.00893   0.00576
 231     6.006  -11515160.528  44320737   0.00393  -0.00187
 232     5.986  -11515386.817  42930068  -0.00086   0.00317
 233     6.026  -11515398.575  42316598  -0.00238   0.00390
 234     6.026  -11515188.786  44523685  -0.00108  -0.00575
 235     5.996  -11515372.504  39728004  -0.01032   0.01340
 236     5.836  -11515442.756  43075396   0.00030   0.00330
 237     6.056  -11515151.087  45179602   0.00332  -0.00831
 238     6.016  -11515396.471  41357600  -0.00057   0.00942
 239     6.126  -11515346.665  41742585  -0.00178   0.00600
 240     6.146  -11515305.423  41963197  -0.00383   0.00920
 241     5.976  -11515369.590  41378260  -0.00937   0.00752
 242     5.826  -11515268.049  45287625   0.00181  -0.00508
 243     5.956  -11515521.194  40456580  -0.00000   0.00867
 244     5.976  -11515054.716  45954257   0.00216  -0.00886
 245     6.186  -11515220.593  41805201   0.00265   0.00448
 246     5.906  -11515178.477  43836866   0.00027  -0.00106
 247     5.836  -11515095.716  46164437   0.00087  -0.00714
 248     5.986  -11515091.714  43105916  -0.00578   0.00107
 249     5.926  -11515544.502  41976253   0.00826   0.00678
 250     5.916  -11515340.140  43523638  -0.00016   0.00095
 251     5.956  -11515100.440  43492357   0.00178  -0.00019
 252     5.886  -11515454.471  43585188   0.00522   0.00093
 253     6.036  -11515245.841  42484803   0.00013   0.00489
 254     5.856  -11515320.111  43356674   0.00281   0.00106
 255     5.906  -11515456.715  41654983  -0.00073   0.00806
 256     6.286  -11515063.228  42636338  -0.01007  -0.00255
 257     6.326  -11514926.698  44557781  -0.00692  -0.00552
 258     5.856  -11515343.858  45101939   0.00065  -0.00363
 259     5.976  -11515231.996  43639987  -0.00025   0.00053
 260     6.056  -11515280.282  44258739   0.00205  -0.00370
 261     6.046  -11515149.862  44378142   0.00212  -0.00402
 262     6.006  -11515371.744  43698045   0.00600  -0.00257
 263     5.846  -11515366.591  44194992   0.00345   0.00194
 264     5.986  -11515276.994  43546642   0.00200   0.00072
