Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     0.400  -29786555.032  6412491  -0.00586   0.00648
   2     0.500  -29786219.621  8615969   0.01528  -0.00354
   3     0.400  -29786566.398  8535684  -0.00077   0.00097
   4     0.500  -29786591.065  6370093  -0.01958   0.00409
   5     0.500  -29786120.317  8424767   0.00205  -0.00301
   6     0.400  -29786570.667  7514623   0.00576   0.00318
   7     0.500  -29786324.879  7725653  -0.01074   0.00227
   8     0.400  -29786802.204  7629711   0.01622   0.00046
   9     0.500  -29786635.404  6248543   0.01186   0.00898
  10     0.500  -29786353.758  9470305   0.01354  -0.00421
  11     0.500  -29786295.463  8316695   0.00035  -0.00142
  12     0.500  -29786080.324  8753331  -0.01041  -0.00157
  13     0.500  -29786406.414  7398878  -0.00082   0.00305
  14     0.500  -29786237.602  8493979   0.00345  -0.00307
  15     0.500  -29786197.342  6933999  -0.01636   0.00147
  16     0.500  -29786133.366  10266038   0.00219  -0.00763
  17     0.500  -29786357.069  9066138  -0.00630  -0.00263
  18     0.500  -29786658.281  7775423  -0.01770   0.00017
  19     0.500  -29786351.934  6875334   0.00409   0.00417
  20     0.500  -29786490.672  6694685   0.00086   0.00547
  21     0.500  -29786045.173  8319232  -0.02192   0.00008
  22     0.500  -29786014.238  11028308   0.00397  -0.00710
  23     0.500  -29786163.475  8375339   0.00202  -0.00161
  24     0.500  -29786277.923  9088907  -0.01262  -0.00225
  25     0.500  -29786022.525  9453865  -0.02148  -0.00055
  26     0.500  -29786098.083  8982129  -0.00058  -0.00180
  27     0.500  -29786361.162  7428536  -0.00587   0.00542
  28     0.400  -29786428.544  9154590  -0.00142  -0.00262
  29     0.500  -29786334.822  8594722  -0.01438  -0.00039
  30     0.500  -29786304.863  8681685  -0.00988  -0.00502
  31     0.500  -29785872.414  7199934  -0.00319  -0.00232
  32     0.500  -29786252.623  8705714  -0.00172  -0.00168
  33     0.500  -29786698.973  9806996   0.02467  -0.00176
  34     0.500  -29786252.910  8732800   0.01386  -0.00188
  35     0.500  -29786211.346  9192586  -0.00364  -0.00826
  36     0.500  -29786011.350  9560766   0.00099  -0.00428
  37     0.400  -29786182.791  10275559  -0.00364  -0.00516
  38     0.500  -29786419.545  8507522  -0.00138   0.00099
  39     0.500  -29786319.373  8668807  -0.01814  -0.00060
  40     0.500  -29786262.451  8071181  -0.01003   0.00088
  41     0.500  -29786187.296  7587687  -0.00881   0.00426
  42     0.400  -29786737.788  7866670   0.00870  -0.00024
  43     0.400  -29786471.462  9221213  -0.00648  -0.00044
  44     0.500  -29786484.795  8313440   0.00164   0.00024
  45     0.500  -29786256.808  10290515   0.00430  -0.01083
  46     0.500  -29786232.795  8388452   0.01089   0.00096
  47     0.500  -29786354.097  7526105   0.00078   0.00099
  48     0.500  -29786526.356  7120105  -0.00204   0.00582
  49     0.500  -29786562.646  8944848   0.01322  -0.00242
  50     0.500  -29786325.563  8865806  -0.00190  -0.00350
  51     0.500  -29786329.048  8038082  -0.00692  -0.00178
  52     0.500  -29786533.666  6721560   0.00267   0.00532
  53     0.500  -29786392.380  8808279   0.01704  -0.00281
  54     0.500  -29786410.327  8560854  -0.00382  -0.00077
  55     0.500  -29786552.795  7714139   0.00657  -0.00041
  56     0.500  -29786509.122  6898446  -0.01092  -0.00040
  57     0.500  -29786270.443  10743826  -0.00290  -0.00519
  58     0.500  -29786363.814  9198952   0.01591  -0.00074
  59     0.500  -29786401.897  8337975   0.00343  -0.00121
  60     0.500  -29786583.765  7265824   0.00290  -0.00105
  61     0.500  -29786450.021  6662986  -0.00337   0.00547
  62     0.500  -29786421.975  8670943   0.00394  -0.00235
  63     0.500  -29786233.817  8046106  -0.00737   0.00044
  64     0.500  -29786007.072  10261242  -0.00609  -0.00498
  65     0.500  -29785970.928  8581161  -0.00212   0.00062
  66     0.500  -29786069.195  8686655   0.00079  -0.00080
  67     0.500  -29786471.773  6587210  -0.01114   0.00167
  68     0.500  -29786053.036  9850841  -0.00392  -0.00658
  69     0.500  -29786420.467  7350246  -0.01262   0.00473
  70     0.500  -29786457.044  7527465   0.00747  -0.00197
  71     0.500  -29786427.565  9381236   0.00640  -0.00370
  72     0.500  -29786358.506  9192404   0.00634  -0.00190
  73     0.500  -29786378.323  7541134  -0.00530   0.00315
  74     0.500  -29786739.974  8070675   0.01316  -0.00238
  75     0.500  -29786555.415  6661359   0.01519   0.00528
  76     0.400  -29786750.477  6352595   0.00433   0.00877
  77     0.500  -29786125.118  8629116   0.01027   0.00054
  78     0.500  -29786021.330  9932901  -0.00297  -0.00413
  79     0.500  -29786387.944  8063622  -0.00166  -0.00216
  80     0.500  -29786521.622  7201090   0.01334   0.00423
  81     0.500  -29785759.593  10371064  -0.00894  -0.00725
  82     0.500  -29786223.199  6363471  -0.00217   0.00644
  83     0.500  -29786584.790  7196250  -0.00776   0.00223
  84     0.500  -29785834.449  9972137  -0.01086  -0.00419
  85     0.500  -29786296.508  9146014  -0.00961  -0.00076
  86     0.500  -29786370.741  8436250  -0.00302   0.00019
  87     0.500  -29786510.056  8149652  -0.00053   0.00151
  88     0.500  -29786217.251  6902540  -0.00584   0.00448
  89     0.500  -29785993.169  7959910   0.00683   0.00368
  90     0.500  -29786667.526  8612144  -0.00138  -0.00098
  91     0.500  -29786506.385  6918499   0.00609   0.00285
  92     0.500  -29786352.539  9152602   0.00301  -0.00543
  93     0.500  -29785904.827  10375625  -0.01743  -0.01043
  94     0.500  -29786613.655  7979932   0.00254  -0.00086
  95     0.500  -29786312.193  7238527   0.01089   0.00383
  96     0.500  -29786539.749  8009478   0.00253   0.00158
  97     0.500  -29786578.532  8829908   0.01745  -0.00061
  98     0.400  -29786596.983  7799065   0.00863   0.00463
  99     0.500  -29786251.177  10827889   0.01346  -0.00779
 100     0.500  -29786033.522  9068489  -0.00919  -0.00306
 101     0.500  -29786605.397  7119351   0.00261   0.00202
 102     0.500  -29786606.473  7469427  -0.00439   0.00091
 103     0.500  -29786099.937  9260050  -0.00140  -0.00550
 104     0.400  -29786242.348  9206064   0.01812  -0.00280
 105     0.500  -29786265.678  8458923   0.00624  -0.00186
 106     0.500  -29786140.454  8768912   0.00022  -0.00721
 107     0.500  -29786162.799  10859797   0.01514  -0.00794
 108     0.500  -29786394.000  8867759  -0.00772  -0.00074
 109     0.500  -29786072.574  6867855  -0.01326   0.00253
 110     0.500  -29786408.766  9259313   0.01224  -0.00129
 111     0.500  -29786121.803  8186714  -0.00820   0.00195
 112     0.500  -29786267.891  8698430   0.00567   0.00208
 113     0.500  -29786487.989  6826350  -0.00409   0.00005
 114     0.500  -29785903.863  8724520  -0.00896  -0.00381
 115     0.500  -29786296.891  6817535   0.00504   0.00203
 116     0.500  -29786279.173  6955513   0.00147   0.00810
 117     0.500  -29786454.749  8792974  -0.00367   0.00037
 118     0.500  -29786291.283  7538412  -0.00082   0.00420
 119     0.500  -29786004.218  8673005  -0.00360  -0.00365
 120     0.500  -29786474.482  8840673   0.01839  -0.00473
 121     0.500  -29786533.270  7440257   0.00157   0.00090
 122     0.500  -29786101.582  8516851   0.01373  -0.00033
 123     0.500  -29785971.190  11368398  -0.01087  -0.00697
 124     0.400  -29786795.241  6782787   0.01559   0.00562
 125     0.400  -29786639.648  7742116   0.01181   0.00168
 126     0.400  -29786497.263  8834753   0.01355  -0.00283
 127     0.500  -29786202.863  6692902  -0.00635   0.00333
 128     0.500  -29786324.917  8995693   0.00235  -0.00088
 129     0.500  -29786529.595  7323064  -0.00925   0.00016
 130     0.500  -29786329.225  8856948  -0.00244  -0.00513
 131     0.500  -29786192.773  10328759  -0.00832  -0.00327
 132     0.500  -29785868.520  8888923  -0.01503  -0.00302
 133     0.500  -29786460.488  8273500   0.00631  -0.00055
 134     0.500  -29786484.347  6588071  -0.00048   0.00575
 135     0.500  -29786293.236  7138552  -0.00671   0.00463
 136     0.500  -29786146.426  8404723  -0.01006  -0.00083
 137     0.500  -29786393.009  7854820   0.01462   0.00295
 138     0.500  -29786361.805  10680133   0.01173  -0.00548
 139     0.500  -29786012.457  11452388  -0.01220  -0.01206
 140     0.500  -29786370.133  8157542  -0.00399  -0.00012
 141     0.500  -29786482.069  7875406   0.00897   0.00221
 142     0.400  -29786471.973  8112798   0.00521   0.00314
 143     0.500  -29786391.699  6399800  -0.01077   0.00484
 144     0.500  -29786559.070  8254239   0.00823   0.00022
 145     0.500  -29786312.054  9199300   0.02218  -0.00282
 146     0.500  -29785925.489  10532274  -0.01423  -0.00649
 147     0.500  -29786335.352  8572606   0.00029   0.00124
 148     0.500  -29786096.716  10053963   0.00749  -0.00421
 149     0.500  -29786207.020  9795164  -0.00598  -0.00349
 150     0.400  -29786564.458  8222938   0.00317   0.00270
 151     0.500  -29786330.958  9496342  -0.00333  -0.00164
 152     0.500  -29786438.348  7929727  -0.00644   0.00223
 153     0.500  -29786624.682  8445429   0.02263   0.00010
 154     0.500  -29786221.713  8604856   0.00996  -0.00427
 155     0.500  -29786076.919  7837140  -0.01311  -0.00082
 156     0.400  -29786827.736  6909921   0.00929   0.00421
 157     0.500  -29786409.294  6781713  -0.00718   0.00506
 158     0.500  -29786674.281  8111777   0.00768  -0.00136
 159     0.500  -29786541.747  7305686  -0.00066  -0.00153
 160     0.500  -29786383.587  9935122  -0.00850  -0.00310
 161     0.500  -29785819.754  9816155  -0.00349  -0.00743
 162     0.500  -29786047.188  8540041  -0.01308   0.00124
 163     0.500  -29786464.613  9389948   0.00088  -0.00009
 164     0.400  -29786839.080  6976657   0.01444   0.00442
 165     0.500  -29786435.634  8483995   0.00139  -0.00141
 166     0.500  -29786217.150  8328783   0.00500  -0.00446
 167     0.500  -29786216.669  8687979  -0.00123  -0.00202
 168     0.500  -29786488.842  9115444   0.00264  -0.00416
 169     0.500  -29785973.311  8020120  -0.00159   0.00339
 170     0.500  -29786436.961  7462205  -0.00145   0.00310
 171     0.500  -29786310.216  8370308  -0.00150  -0.00010
 172     0.500  -29786063.703  8482536  -0.00752  -0.00573
 173     0.500  -29786248.948  7248181  -0.00590   0.00229
 174     0.500  -29786134.890  8918106   0.00293  -0.00495
 175     0.500  -29786046.406  8696580  -0.01478  -0.00232
 176     0.500  -29786293.871  9251590   0.00123  -0.00609
