Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 109     1.420  -10278624.759  6387534  -0.00518  -0.00263
 110     1.430  -10278735.516  6400327   0.00141  -0.00413
 111     1.380  -10278719.608  5649959  -0.00353   0.00364
 112     1.400  -10278740.644  5428671  -0.00430   0.00623
 113     1.460  -10278771.635  6070157   0.00071  -0.00046
 114     1.380  -10278844.293  5299246   0.00030   0.00782
 115     1.400  -10278732.319  6157649   0.00506  -0.00218
 116     1.440  -10278725.439  6331886   0.00335  -0.00189
 117     1.340  -10278762.215  5909428   0.00831   0.00163
 118     1.370  -10278733.564  6393629   0.00205  -0.00325
 119     1.460  -10278788.090  5474270  -0.00613   0.00606
 120     1.380  -10278728.283  6102490   0.00068   0.00077
 121     1.320  -10278756.892  6632327   0.00273  -0.00377
 122     1.500  -10278753.154  6002600   0.00207   0.00266
 123     1.460  -10278717.989  6174478  -0.00210  -0.00157
 124     1.410  -10278743.908  6125000   0.00416   0.00109
 125     1.440  -10278648.296  5962841  -0.01151   0.00050
 126     1.340  -10278662.919  6496981   0.00283  -0.00309
 127     1.370  -10278837.974  5642732   0.00638   0.00573
 128     1.410  -10278674.035  5624067  -0.00100   0.00284
 129     1.490  -10278704.042  6123989  -0.00598  -0.00195
 130     1.390  -10278822.942  5788898   0.00018   0.00300
 131     1.430  -10278817.559  5660075   0.00502   0.00456
 132     1.410  -10278589.472  6604900  -0.01143  -0.00643
 133     1.420  -10278703.163  6198725  -0.00926  -0.00161
 134     1.480  -10278721.772  6437932  -0.00391  -0.00307
 135     1.410  -10278720.648  6071222   0.00351  -0.00148
 136     1.390  -10278889.848  5428500   0.00452   0.00782
 137     1.390  -10278656.793  6874811   0.00174  -0.00727
 138     1.370  -10278860.226  5636275   0.00717   0.00535
 139     1.410  -10278669.911  6368863   0.00114  -0.00455
 140     1.350  -10278778.084  5730141  -0.00162   0.00390
 141     1.480  -10278716.329  6328126  -0.00241  -0.00107
 142     1.410  -10278701.137  6409843  -0.00476  -0.00386
 143     1.360  -10278795.108  5650301  -0.00146   0.00396
 144     1.450  -10278706.219  6077863   0.00014   0.00171
 145     1.460  -10278640.809  6316535  -0.00841  -0.00294
 146     1.380  -10278768.807  6260787  -0.00116  -0.00233
 147     1.450  -10278628.462  6607039  -0.00310  -0.00478
 148     1.410  -10278613.338  6114485  -0.00485  -0.00042
 149     1.440  -10278791.101  6567739   0.00582  -0.00483
 150     1.500  -10278704.059  5951447  -0.00502  -0.00075
 151     1.480  -10278713.088  6468050   0.00651  -0.00354
 152     1.430  -10278760.697  6448554   0.00647  -0.00261
 153     1.360  -10278686.840  6513718  -0.00060  -0.00465
 154     1.360  -10278767.534  5860923  -0.00112   0.00197
 155     1.390  -10278800.669  6122240  -0.00102   0.00120
 156     1.460  -10278725.886  5910734  -0.00160   0.00258
 157     1.390  -10278741.308  6480132   0.00290  -0.00345
 158     1.440  -10278806.345  5850500   0.00373   0.00293
