Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     0.700  -21185551.418  2064164  -0.00023  -0.00301
   2     0.700  -21185613.206  1757439  -0.01740   0.00299
   3     0.600  -21185609.022  2728137   0.00969  -0.01256
   4     0.600  -21185693.712  1739663   0.00963   0.00470
   5     0.600  -21185629.276  1923399   0.00868   0.00159
   6     0.600  -21185720.787  1826158  -0.00258   0.00297
   7     0.600  -21185571.338  1780680   0.00243   0.00312
   8     0.600  -21185774.848  2226966   0.00082  -0.00189
   9     0.600  -21185527.751  1873146  -0.00241   0.00116
  10     0.600  -21185599.841  1776453   0.01188   0.00375
  11     0.600  -21185699.944  1725466  -0.00296   0.00311
  12     0.600  -21185780.751  1974502  -0.00754  -0.00136
  13     0.700  -21185284.351  2331232  -0.00233  -0.00454
  14     0.600  -21185591.305  2012631  -0.00349   0.00088
  15     0.700  -21185558.507  2499417  -0.01409  -0.00804
  16     0.600  -21185762.656  1647825   0.00096   0.00512
  17     0.600  -21185650.354  1863933   0.00993   0.00213
  18     0.600  -21185577.241  1793581  -0.00190   0.00160
  19     0.600  -21185669.513  1704910   0.00791   0.00573
  20     0.600  -21185589.569  1793280   0.01250   0.00415
  21     0.600  -21185682.054  1710392   0.00356   0.00287
  22     0.600  -21185578.969  2098897   0.00496  -0.00215
  23     0.600  -21185608.307  2094798  -0.00094  -0.00261
  24     0.600  -21185750.985  1624804   0.01838   0.00443
  25     0.600  -21185642.919  1890617  -0.00227   0.00038
  26     0.600  -21185689.291  2235089   0.00753  -0.00662
  27     0.600  -21185611.641  2049457   0.00658  -0.00124
  28     0.600  -21185694.618  1746652   0.00204   0.00352
  29     0.600  -21185603.121  1757100  -0.01331   0.00140
  30     0.600  -21185442.940  2077756   0.00035  -0.00251
  31     0.600  -21185660.415  2178794  -0.00894  -0.00028
  32     0.600  -21185463.706  2185750   0.00058  -0.00188
  33     0.600  -21185776.151  2116236   0.01130  -0.00291
  34     0.600  -21185653.459  1697091   0.00282   0.00651
  35     0.700  -21185728.332  1873538  -0.00889  -0.00011
  36     0.600  -21185762.281  1825188  -0.02070  -0.00071
  37     0.600  -21185607.458  1989515  -0.01378  -0.00104
  38     0.600  -21185621.353  1663325   0.00889   0.00500
  39     0.600  -21185717.329  1661603  -0.00993   0.00277
  40     0.600  -21185534.104  1960480   0.01159   0.00201
  41     0.600  -21185652.471  2050825   0.00583  -0.00182
  42     0.600  -21185598.777  2246737  -0.00452  -0.00465
  43     0.700  -21185684.465  1843728   0.00641   0.00184
  44     0.600  -21185664.485  1749983  -0.00468   0.00110
  45     0.700  -21185775.396  1650000  -0.01559   0.00305
  46     0.600  -21185809.449  2360964  -0.01929  -0.00474
  47     0.600  -21185428.914  2171384   0.00057  -0.00282
  48     0.600  -21185654.224  1742619   0.00922   0.00211
  49     0.600  -21185847.064  1479081  -0.01229   0.00747
  50     0.600  -21185678.276  1880900   0.01756   0.00217
  51     0.600  -21185613.998  2019843   0.00512  -0.00021
  52     0.600  -21185723.807  1781992   0.00456   0.00366
  53     0.600  -21185696.645  2437081   0.00936  -0.00422
  54     0.600  -21185809.225  1738870   0.01638   0.00368
  55     0.600  -21185762.954  1839976  -0.00407   0.00257
  56     0.600  -21185644.695  1872018   0.00075   0.00141
  57     0.600  -21185704.827  2150390   0.00946  -0.00041
  58     0.600  -21185740.558  2225205   0.00483  -0.00524
  59     0.700  -21185635.913  2262282  -0.01373  -0.00512
  60     0.600  -21185715.959  1823461  -0.00586   0.00127
  61     0.600  -21185832.686  1574845   0.00802   0.00619
  62     0.700  -21185501.984  2194340  -0.01189  -0.00368
  63     0.600  -21185632.041  2361032   0.00846  -0.00374
