Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     7.948  -15276784.175  78483853   0.00505   0.01218
   2     7.978  -15276558.599  82152295  -0.00410   0.00218
   3     7.748  -15276730.081  84243536  -0.00371   0.00012
   4     7.748  -15276074.260  88707415   0.00233  -0.00810
   5     8.288  -15276364.960  80477063  -0.00740   0.00628
   6     7.988  -15276277.083  83723335   0.00179   0.00047
   7     7.598  -15276612.970  82625958   0.00279   0.00317
   8     7.668  -15276506.304  84725041  -0.00034  -0.00027
   9     7.918  -15276992.487  80925743   0.00487   0.00637
  10     8.298  -15276316.847  79641180  -0.00947   0.00680
  11     7.928  -15276320.273  83550028  -0.00928   0.00274
  12     7.888  -15276341.105  84697506  -0.00362  -0.00095
  13     7.888  -15276387.428  83861240   0.00145  -0.00029
  14     8.018  -15276075.151  84571665  -0.00204   0.00243
  15     7.848  -15276940.876  80433346  -0.00091   0.00626
  16     8.088  -15276453.777  83414995   0.00465  -0.00112
  17     8.018  -15276179.502  82655967  -0.00575   0.00213
  18     7.788  -15276632.131  81373890   0.00506   0.00594
  19     7.638  -15276855.689  81550505   0.00601   0.00644
  20     8.088  -15276945.860  76917249  -0.00041   0.01544
  21     8.188  -15276489.230  77351395  -0.00797   0.01412
  22     8.088  -15276536.350  77070091  -0.00668   0.01469
  23     8.008  -15276381.933  86158111  -0.00015  -0.00452
  24     7.818  -15276619.833  86028663   0.00355  -0.00427
  25     8.258  -15276151.119  82477241   0.00435  -0.00023
  26     8.158  -15276040.513  85004364  -0.00145  -0.00256
  27     7.858  -15276422.986  82373869  -0.00356   0.00362
  28     7.748  -15276395.908  87038936  -0.00159  -0.00782
  29     7.638  -15276515.858  88625591   0.00311  -0.00916
  30     7.708  -15276452.056  87030808   0.00942  -0.00355
  31     7.918  -15276622.873  80948553  -0.00052   0.00553
  32     7.888  -15276866.009  79747047  -0.00461   0.01048
  33     7.788  -15275922.470  89809072  -0.00030  -0.01287
  34     7.898  -15276838.114  80966449   0.00675   0.00637
  35     7.738  -15276673.019  84314140   0.00143  -0.00165
  36     7.658  -15276453.457  87122950   0.00509  -0.00476
  37     7.828  -15276104.115  88597624   0.00948  -0.01433
  38     8.058  -15275950.678  86289576  -0.00424  -0.00648
  39     7.848  -15276534.536  83169544  -0.00533   0.00223
  40     8.078  -15276332.790  79754447   0.00020   0.01230
  41     7.958  -15276756.390  76465593   0.00100   0.01553
  42     7.818  -15276250.221  86047152   0.00346  -0.00497
