Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 109     4.995  -8924464.893  24803587   0.00529   0.00559
 110     4.955  -8924352.682  25975138  -0.00036   0.00101
 111     5.175  -8924195.351  24753721  -0.00898   0.00686
 112     4.965  -8924334.551  25741245   0.00057   0.00132
 113     5.015  -8924284.614  26287599  -0.00033  -0.00028
 114     4.875  -8924415.882  25160384  -0.00173   0.00424
 115     4.925  -8924289.759  26312948   0.00636  -0.00138
 116     4.945  -8924247.777  25334373  -0.00751   0.00267
 117     5.045  -8924347.335  26930770   0.00600  -0.00332
 118     5.025  -8924364.001  26391408   0.00521  -0.00090
 119     4.975  -8924356.727  26292036   0.00033  -0.00332
 120     5.035  -8924374.100  25489850  -0.00143   0.00091
 121     4.945  -8924358.195  25513421  -0.00529  -0.00079
 122     5.055  -8924374.782  25859572   0.00741  -0.00038
 123     4.905  -8924377.745  26285485   0.00366   0.00097
 124     5.065  -8924377.657  25173464   0.00331   0.00471
 125     4.865  -8924217.304  26655731  -0.00255  -0.00398
 126     5.035  -8924401.833  25906761   0.00011  -0.00187
 127     5.055  -8924258.580  26670231  -0.00078  -0.00357
 128     4.925  -8924447.192  24417519   0.00580   0.00505
 129     4.965  -8924398.264  24282781  -0.00399   0.00805
 130     4.955  -8924456.570  24242794   0.00872   0.00791
 131     4.905  -8924246.871  27160296   0.00479  -0.00586
 132     4.945  -8924427.721  25670356   0.00044   0.00257
 133     4.925  -8924296.928  25712802   0.00344   0.00113
 134     4.865  -8924284.390  27435983   0.00848  -0.00570
 135     5.055  -8924214.801  26340475   0.00456  -0.00360
 136     4.805  -8924323.634  25613997   0.00134   0.00370
 137     4.965  -8924323.717  25701049   0.00224   0.00325
 138     4.915  -8924163.503  27807897   0.00396  -0.00791
 139     4.985  -8924371.537  25818109   0.01086   0.00130
 140     5.035  -8924177.486  25970421  -0.00967  -0.00084
 141     4.865  -8924331.078  27347046   0.00573  -0.00697
 142     4.935  -8924304.793  24938678  -0.00470   0.00426
 143     5.065  -8924230.818  25493300  -0.00600   0.00210
 144     4.895  -8924366.972  25742676   0.00175   0.00201
 145     4.785  -8924502.006  25258741   0.00331   0.00428
 146     4.815  -8924467.991  26534570   0.01024  -0.00241
 147     4.875  -8924304.545  27494260  -0.00055  -0.00756
 148     4.785  -8924425.463  24873985   0.00396   0.00714
 149     4.925  -8924439.501  25123695   0.00656   0.00552
 150     4.895  -8924434.421  25997330   0.00283  -0.00243
 151     4.935  -8924319.063  26676544  -0.00200  -0.00190
 152     4.845  -8924568.858  22569188  -0.00516   0.01784
 153     4.875  -8924261.625  28011198   0.00556  -0.01033
 154     4.985  -8924332.433  25397080  -0.00191   0.00246
 155     5.075  -8924239.036  25811350  -0.00421  -0.00119
 156     4.965  -8924478.096  26140335   0.00546   0.00094
 157     5.065  -8924257.786  26437433  -0.00184  -0.00291
 158     4.825  -8924427.898  26957379   0.00537  -0.00114
 159     5.025  -8924319.517  25108317  -0.00854   0.00580
 160     4.985  -8924252.799  25608485  -0.00376   0.00390
 161     4.905  -8924358.197  26949034   0.00052  -0.00245
 162     5.025  -8924398.276  26671392  -0.00635  -0.00563
 163     5.015  -8924413.550  25786477   0.00379   0.00007
 164     4.755  -8924257.821  26917419  -0.00311  -0.00522
 165     4.905  -8924369.496  27181717   0.00588  -0.00341
 166     4.865  -8924356.418  27613095   0.00054  -0.00727
 167     4.985  -8924342.203  26909645   0.00235  -0.00485
 168     4.855  -8924243.065  26450531   0.00263  -0.00248
 169     4.935  -8924183.509  28160564   0.00426  -0.00880
 170     5.095  -8924244.447  25634702  -0.00715   0.00006
 171     4.925  -8924412.334  25659673   0.00076   0.00194
 172     5.135  -8924279.352  26985030   0.00586  -0.00473
 173     4.885  -8924315.457  26258759   0.00331  -0.00125
 174     5.045  -8924122.287  25803954  -0.00481   0.00164
 175     4.945  -8924389.354  25232519   0.00028   0.00466
 176     5.045  -8924344.225  26373964   0.00202  -0.00186
 177     5.025  -8924412.839  26180451   0.00760  -0.00148
 178     4.935  -8924348.476  25924771  -0.00302   0.00097
 179     4.955  -8924198.025  26567945  -0.00276  -0.00150
 180     4.845  -8924422.001  25847873   0.00289   0.00280
 181     4.745  -8924256.825  25998826   0.00089   0.00145
