
Rho     Fit     CLR     CF
    0.70 15158.82 1721.510   37.688
    0.65 11691.62 2695.959  -47.653
    0.64 11358.10 2713.539 -148.199
    0.59  9772.58 5458.403 -333.060
    0.60 10266.84 4922.526 -117.719
    0.74 14710.13 1070.273   25.613
    0.63 11938.81 3124.822    8.590
    0.62 10769.87 3268.079  -65.538
    0.67 13072.64 2249.394   18.128
    0.67 12406.01 2421.477 -138.903
    0.69 12870.20 1694.064 -178.093
    0.71 13098.68 2255.641  -58.084
    0.59 12452.06 6338.838  -23.327
    0.69 13507.80 2200.116  -58.488
    0.60 11593.56 4312.791   30.410
    0.67 12533.28 1807.407 -141.240
    0.61 10204.46 4102.611 -230.061
    0.67 12122.43 2440.190  -47.427
    0.66 12031.94 2410.832   27.593
    0.62 10918.54 3472.202  -73.420
    0.62 10581.48 3646.268  -67.438
    5.61 15128.08    0.126   -2.026
    0.61 11026.51 3424.734   -4.174
    0.68 13362.42 1767.535  -63.765
    0.67 12516.63 1965.571   25.352
    0.63 10631.72 3464.130 -219.217
    0.65 11075.05 3226.533 -205.458
    0.71 13564.10 2656.745  119.803
    0.66 12014.04 2702.128  -41.355
    0.64 11375.34 3117.389  -40.979
    0.63 11750.18 4623.847  -78.052
    6.13 15774.52    8.384   21.056
    0.64 11410.08 2740.553 -139.944
    0.74 15316.00  820.053  -76.368
    0.69 12607.35 1826.153  -12.825
    0.69 12577.23 1838.716  -86.040
    0.70 13296.32 3774.394  -22.060
    0.67 12642.81 1776.933  -99.184
    0.71 14660.06  871.137 -128.348
    0.63 10907.54 3093.731 -208.013
    0.68 12197.01 2381.624 -171.225
    0.63 13084.51 4038.513  -34.042
    0.67 11729.18 2419.870 -112.298
    0.65 12013.60 2951.111  -28.197
    0.63 11836.99 3718.300  -89.833
    0.63 11116.15 3436.258 -211.666
    0.61 10816.43 3669.204  -51.875
    0.64 11246.80 2956.109 -191.662
    0.61 10827.95 3973.847  -62.117
    0.64 10904.26 2652.909  -50.825
    0.60  9882.55 4045.532 -305.739
    0.65 11496.18 2609.467  -63.493
    0.64 11403.50 2630.347 -323.170
    0.65 12152.21 4162.478  -55.714
    0.69 12512.36 1491.489 -166.453
    0.61 11028.18 4550.703   91.662
    0.66 11433.31 3005.289  -59.558
    0.65 12561.94 5207.143   -2.420
    0.69 12630.89 1832.340   61.470
    0.70 13143.52 1282.039  -69.462
    0.68 12532.91 1933.795  -76.507
    0.65 11646.64 3442.519   46.016
    0.62 11824.64 3162.118   46.359
    0.62 11783.85 4409.340    0.558
    0.65 11458.56 3627.814  -30.747
    0.70 12543.83 1698.032 -113.418
    0.67 11628.36 2230.191 -222.693
    0.67 12086.58 2026.865  -96.071
    0.60 10219.43 4922.547 -110.306
    0.71 12831.39 1385.112 -173.954
    0.73 13656.96  897.097 -126.979
    0.64 10740.70 3344.870 -121.622
    0.65 11267.07 2582.334 -191.919
    0.66 12443.15 2136.630 -142.924
    0.72 13152.09  998.202 -178.805
    0.65 12009.74 2637.566  -79.467
    0.67 12126.56 1909.308 -198.891
    0.70 12635.59 1321.363  -98.327
    0.71 12394.86 1614.731   30.360
    0.68 12602.49 1654.474   -5.138
    0.65 11903.31 2366.130 -296.995
    0.60 10172.76 4485.144 -192.087
    0.61 10502.24 3821.728   19.335
    0.70 12876.20 1679.041  -37.935
    0.68 12019.88 2068.485  -31.399
    0.62 10772.23 4715.227 -149.960
    0.58 10362.24 4874.798    0.527
    0.64 11107.11 2682.146 -247.889
    0.64 11186.41 3196.275 -134.556
    0.64 11651.76 2988.310 -156.945
    0.70 13534.85 1126.250 -151.247
    0.71 12924.43 1163.980  -27.645
    0.67 14281.75 2519.337   34.759
    0.66 13120.70 2709.698  -43.666
    0.61  9767.11 3795.144 -158.913
    0.64 11495.92 4071.989  -89.859
    0.62 10165.47 3520.471  -63.481
    0.64 12411.34 3944.474 -152.942
    0.75 14372.05  160.029 -173.761
    0.61 11149.11 3879.060  -63.972
    0.66 12132.74 2324.180  -54.318
    0.65 11524.60 2620.162  -53.158
    0.55 10309.31 5327.864  -76.779
    0.69 12192.17 2747.970  -16.449
    0.63 11873.00 4666.014  -52.635
    0.64 11789.61 4584.192   63.560
    0.68 12679.31 1710.469 -196.228
    0.68 12714.48 2536.770 -193.583
    0.68 13303.00 1808.212 -154.096
    0.67 11638.45 2233.859 -208.264
    0.62 11359.52 3505.670 -104.064
    0.63 12028.54 3621.144    9.015
    0.64 11374.10 3225.886 -100.038
    0.64 10710.47 3288.427 -145.059
    0.69 14016.77 3105.505  -29.878
    0.64 10612.82 3363.881 -147.676
    0.64 11029.60 3135.127    6.312
    0.66 11619.29 2282.761  -27.222
    0.64 11263.63 2912.351 -261.289
    0.70 12643.20 1678.635 -186.498
    0.74 14311.95  435.380 -108.056
    0.65 11329.69 6278.749   15.139
    0.61 10249.80 3808.804   85.487
    0.61 11796.15 3880.316 -129.818
    0.66 11583.52 2124.587 -143.562
    0.62 10472.53 3302.140  -83.495
    0.62 10771.21 3633.728 -128.936
    0.67 12899.43 2160.885 -101.666
    0.62 10707.35 3598.129 -105.456
    0.73 13691.38  916.799 -159.384
    0.65 11252.04 2694.792 -238.790
    0.68 12736.95 1984.224   10.363
    0.70 12770.03 2072.407  -18.352
    0.59  9730.04 4333.450  -57.706
    0.59  9921.33 4230.069  -96.946
    0.73 13493.46 1389.667  -90.684
    0.63 11901.43 2861.158 -165.072
    0.70 13247.24 2348.343   70.462
    0.69 13901.01 2738.508  -40.938
    0.70 14068.93 1276.381   -8.895
    0.62 10946.16 4106.555  -50.684
    0.72 13596.02 1322.652  -41.504
    0.66 12066.91 3550.304   20.606
    0.74 13826.31  466.098 -279.760
    0.65 11734.62 2497.021  -94.499
    0.63 11975.57 4244.479 -113.091
    0.68 12534.27 1954.413 -148.018
    0.60 12396.63 5231.315  154.945
    0.63 10791.96 3591.605   -6.696
    0.63 10374.83 3545.724 -213.765
    0.67 11856.53 2263.575 -168.903
    0.65 11810.65 2480.878   -0.409
    0.66 12644.57 2131.268  -23.480
    0.72 14754.25 1434.051  192.210
    0.60 10698.67 3973.097  -71.139
    0.69 12032.21 2504.889 -127.704
    0.70 14095.77 1503.445 -192.812
    0.62 11439.16 4435.514  -50.200
    0.64 11158.93 2877.778 -109.301
    0.65 11454.22 2872.378  -80.417
    0.65 12076.97 3061.629  -37.537
    0.68 11824.71 2161.155  -86.162
    0.66 11066.82 3253.733   14.513
    0.63 11863.02 3428.615 -101.618
    0.68 12840.01 1595.140 -108.512
    0.68 13505.63 1798.569   37.180
    0.67 12014.50 2224.382   32.775
    0.61 11348.66 4931.180   58.905
    0.59 10119.47 3754.711 -195.919
    0.62 11614.23 3546.333  -94.233
    0.64 12940.26 3948.151   32.946
    0.65 12407.57 3674.154 -187.424
    0.64 11615.71 3099.580 -135.492
    0.66 12859.98 1851.249 -134.721
    0.68 13193.85 1900.904  -73.052
    0.69 12685.74 1704.593  -72.298
    0.70 13242.43 1068.867   33.458
    0.67 11914.03 2082.780  -82.271
    0.64 10974.52 2747.045  -53.788
    0.62 11400.18 3064.952 -156.963
    0.64 11940.98 2590.643 -190.817
    0.63  9995.02 3473.450 -385.738
    0.73 14680.58  863.663  -49.375
    0.68 13784.32 2380.996   68.062
    0.62 10940.05 3553.692  -53.952
    0.66 12691.50 2721.092 -133.011
    0.65 11450.83 2954.055   57.663
    0.61 10994.74 4255.944  -80.202
    0.64 12188.20 3529.898   51.941
    0.63 11165.89 3176.187  -84.273
    0.66 11852.64 2476.431  -51.685
    0.66 11883.46 4641.924   31.795
    0.68 12362.58 1857.138 -183.488
    0.66 12015.39 4461.598  -93.913
    0.72 13437.78  927.929   16.437
    0.67 12219.50 2254.454 -171.118
    0.68 11670.57 2042.549   57.842
    0.65 12778.70 4320.809   -0.947
    0.65 12502.34 2457.543  -68.926
    0.74 14609.33  574.985   33.318
    0.66 11466.79 2834.554 -132.254
    0.67 12783.36 1983.994  -37.312
    0.59 10452.79 4957.139  -51.908
    0.73 15483.24  418.200 -120.942
    0.68 11707.25 2069.483   17.601
    0.64 10784.94 2837.929 -172.368
    0.67 13410.59 2798.996  -66.757
    0.64 11051.61 3494.910  -16.807
    0.67 13208.33 2857.213    3.219
    0.68 12677.00 1815.610  -39.699
    0.63 11391.25 3474.409  -89.560
    0.68 13468.92 1293.524  -49.913
    0.66 12674.98 2980.706 -143.449
    0.64 10978.89 2752.643 -218.749
    0.66 12868.07 2995.938  -23.585
    0.71 12429.03 1409.744  -17.024
    0.69 12331.60 2394.691  -93.127
    0.65 11587.66 2891.494 -234.777
    0.64 11306.04 2968.924 -113.840
    0.70 13364.32 1493.253 -174.982
    0.69 12446.18 1971.252 -113.212
    0.68 12364.33 2135.083  -19.829
    0.67 11807.92 2437.213  -14.440
    0.66 13399.87 3072.334  -39.586
    0.59  9905.99 4241.007 -158.608
    0.63 12668.17 3767.169   32.868
    0.65 11592.72 2716.532 -232.200
    0.65 14930.71 5976.706   29.419
    0.60 10368.12 3922.698  -64.154
    0.62 10796.48 3530.712  -33.490
    0.63 11833.92 2473.906 -210.424
    0.64 11788.33 2513.394  -18.899
    0.63 11464.83 3659.346 -127.848
    0.66 13518.01 5583.010   41.052
    0.60 10731.84 4817.335 -114.113
    0.69 12532.99 2173.834   48.329
    0.65 11317.01 2711.228 -124.838
    0.63 10993.95 3128.783 -195.290
    0.67 12466.79 2002.033  -32.897
    0.61 11781.93 4645.956  -16.923
    0.64 11769.88 2859.547 -133.005
    0.72 14155.83  587.317 -194.727
    0.70 12299.61 1635.153 -177.075
    0.66 11797.41 2820.711  -31.294
    0.62 10512.58 3369.982 -134.131
    0.67 12492.39 2713.257  -91.903
    0.63 10983.19 3589.269  -57.742
    0.66 12606.51 2687.168  -15.073
    0.65 10815.66 3678.213 -127.417
    0.58 12977.20 4458.961   38.191
    0.67 12848.79 1703.272   19.124
    0.69 12232.25 2899.830   41.213
    0.62 10312.99 3930.064 -190.755
    0.71 13517.39 1544.341   70.901
    0.61 12138.70 6270.390   70.026
    0.70 14360.47 1667.763  113.934
    0.60  9599.07 4367.295 -130.864
    0.63 11290.30 3315.606 -126.468
    0.68 12653.22 2089.228   79.187
    0.71 14375.62 1322.112    2.670
    0.62 11237.15 3460.769   -6.365
    0.71 13214.04 1398.863  -68.933
    0.62 11113.24 3530.309 -276.555
    0.62 11131.48 3178.907 -180.862
    0.69 13302.65 1762.809  -99.628
    0.64 11846.73 2819.290  -63.061
    0.73 14430.78 1002.715   43.330
    0.63 11073.95 3341.447  -30.249
    0.70 12463.32 2643.069  -67.091
    0.68 12403.54 1993.248 -168.480
    0.62 10942.98 3704.023 -253.586
    0.70 13378.95 1522.360  -80.685
    0.61 11302.42 3968.384  -64.976
    0.70 13701.56 1733.416    7.843
    0.72 13861.20  903.184  -61.725
    0.62 11126.09 4023.353    9.061
    0.63 10487.72 3238.338  -33.568
    0.64 11512.92 3153.526  -18.250
    0.66 12600.86 3072.589   22.209
    0.65 12050.15 2863.674  -64.217
    0.69 13082.21 1876.621   38.423
    0.67 12960.48 2316.520    2.332
    0.69 12182.68 1729.438   33.886
    0.60 12714.31 5698.420  -55.551
    0.72 14323.32  955.697   32.615
    0.63 11423.73 3112.480   78.620
    0.68 11951.89 2062.593 -168.359
    0.62 10232.82 3097.363  -88.910
    0.68 11730.97 2799.766  -75.655
    0.60 11353.23 5358.045  -20.292
    0.72 14433.75 1342.373   -1.010
    0.66 11737.11 2647.975 -172.896
    0.62 11204.99 3590.358 -199.983
    0.65 11879.15 2216.162   40.086
    0.67 11954.44 2343.615 -106.701
    0.66 11763.55 2327.238 -161.161
    0.66 11138.96 2897.305 -213.256
    0.65 11776.98 2243.296  -52.901
    0.60 11188.71 5588.404 -178.672
    0.66 11993.78 2876.016 -168.842
    0.63 12311.10 3946.745  -88.538
    0.63 11193.58 3327.566   21.519
    0.69 13341.36 1648.635 -127.253
    0.63 10764.48 3528.067 -188.139
    0.64 11185.00 3407.340 -162.415
    0.64 11584.48 2879.195  -97.759
    0.66 11953.39 2461.903  -50.051
    0.66 11375.45 2703.107 -107.156
    0.66 11582.23 2676.669  -46.581
    0.62 10424.57 3542.697 -171.339
    0.69 12384.69 1469.983 -126.875
    0.65 12887.58 2704.464  -30.153
    0.72 13158.36 1175.990 -208.046
    0.68 12563.46 1828.404 -175.762
    0.67 12343.84 1879.727 -220.444
    0.71 13476.80  943.017   17.025
    0.65 11451.65 3005.241 -178.251
    0.67 11750.56 2419.598   -0.606
    0.74 14199.77  795.514 -218.329
    0.70 12749.82 1602.620 -176.573
    0.67 12527.96 2240.336  -82.024
    0.66 11974.58 2399.682 -256.422
    0.65 12184.79 3208.950  -65.589
    0.70 14149.33 3181.867  -85.792
    0.59  9631.60 4127.357 -187.422
    0.63 10791.63 3060.830 -345.322
    0.69 13501.47 1306.833  -55.288
    0.68 13087.26 2481.479 -126.808
    0.68 12920.51 1793.679  -23.997
    0.63 10627.92 2937.363 -189.576
    0.65 11192.83 3135.896  -16.554
    0.70 12156.32 7999.250  204.618
    0.60 10516.98 3844.319 -180.927
    0.68 12269.01 1926.607   -2.111
    0.59 11191.98 6995.622  172.459
    0.63 11044.87 3149.818 -147.906
    0.63 10773.70 3197.227 -110.721
    0.66 12387.88 2466.801   -8.071
    0.67 13281.88 1959.960  -44.264
    0.69 12957.04 1755.294  -14.431
    0.72 13661.74 2118.615  -19.759
    0.65 10675.14 3751.948 -141.478
    0.67 13367.46 4022.914   19.470
    0.61 10957.59 3804.582  -56.018
    0.60 11148.56 4296.462 -173.010
    0.67 12535.83 2326.873 -251.709
    0.67 12190.07 2583.512   48.675
    0.64 11634.67 3282.072  -50.308
    0.64 11736.96 3824.952  -65.620
    0.67 12041.86 2047.726 -109.664
    0.60 10895.93 4146.152 -159.024
    0.66 12610.19 2580.282  -13.087
    0.73 12825.38 1302.251  -29.237
    0.69 12964.19 2138.434   -0.955
    0.72 13751.87 1192.040    7.691
    0.65 11479.93 2761.142 -192.531
    0.64 11328.80 2918.919  -75.243
    0.68 12474.44 2170.458  -75.663
    0.69 12137.05 2265.130   72.171
    0.75 14592.64  357.475  -64.271
    0.68 12541.19 2894.251   40.252
    0.63 11378.92 3611.774 -209.203
    0.64 11008.02 3471.964  -49.734
    0.59 10893.00 4880.663    3.805
    0.59  9766.12 4645.189  -19.550
    0.64 11680.52 5579.963   49.426
    0.65 11296.06 3076.563    1.139
    0.72 14047.32  874.633  -40.903
    0.64 10763.95 3003.388 -177.495
    0.68 13100.15 2031.500  -67.384
    0.63 11545.92 2930.621 -210.607
    0.72 13734.24  946.568 -129.511
    0.61 11509.25 3153.412   61.936
    0.71 13596.86 1128.776    4.899
    0.70 13840.19 1702.805  150.392
    0.59 10176.61 4031.063 -189.006
    0.64 11073.17 3079.891  -21.061
    0.67 13840.15 2227.798  -79.389
    0.63 12080.19 4411.482  -91.208
    0.62 11303.03 3795.278   -2.207
    0.73 13975.32  557.875 -119.931
    0.62 10746.91 3313.422 -113.830
    0.70 12928.84 1588.741 -109.015
    0.61 11068.60 3377.624 -253.778
    5.69 17075.60    0.056  228.994
    0.68 11882.55 2632.940 -163.561
    0.65 10980.13 2665.762  -73.583
    0.67 11987.88 2259.865  -49.614
    0.67 12430.76 1842.857  -97.296
    0.74 13539.12  813.954 -156.181
    0.71 13456.82 1110.962  -31.171
    0.68 13227.03 1530.879  -76.419
    0.61 10831.75 3924.692  -42.705
    0.71 13425.85 1506.883  -20.202
    0.66 11535.77 2675.167 -247.590
    0.60 10792.80 4618.049 -145.239
    0.68 12948.61 1357.470  -70.605
    0.74 14296.53  490.144 -156.579
    0.74 14190.33  466.766  -10.348
    0.76 14148.99  172.090  -10.029
    0.63 11419.35 2815.395  -73.297
    0.63 11363.08 2976.571 -109.209
    0.68 12050.74 2224.967 -144.003
    0.63 12735.00 2882.929  -20.485
    0.67 11706.27 2796.693  -83.977
    0.58 10707.89 5245.676  -62.993
    0.67 12142.23 2340.119   43.217
    0.68 13043.14 2708.450 -129.147
    0.65 11504.95 3108.893 -219.694
    0.64 11599.56 3127.008  -98.821
    0.64 13344.52 4865.068   23.014
    0.61 11906.25 4791.385   78.276
    0.65 11584.98 2648.441  -15.086
    0.68 12558.07 2247.548   -3.550
    0.65 11631.86 3168.497  -44.123
    0.61 10781.79 4020.152 -104.536
    0.68 12938.14 1496.122  -37.944
    0.64 11816.99 2905.238  -11.137
    0.74 13682.00  943.670  -19.374
    0.63 11193.08 3797.445  -64.535
    0.68 12682.33 2078.032   16.441
    0.65 11549.93 2919.477  -30.717
    0.66 11611.26 3170.481  -80.442
    0.63 10322.44 3456.415  -47.385
    0.63 11401.04 4071.507   50.126
    0.65 12014.55 2653.341  -58.853
    0.66 11388.03 2568.800 -220.779
    0.61 10294.61 3534.314 -245.225
    0.68 12752.30 1845.089  -69.134
    0.66 12840.04 3011.531   45.060
    0.60 11349.40 4703.022  -25.189
    0.60 10059.96 4166.793  -78.499
    0.66 11996.40 2419.489 -100.228
    0.69 12464.47 1827.313  -53.388
    0.65 12603.05 2353.706 -105.281
    0.62 10917.12 3090.084  -13.383
    0.73 13958.74  796.162   -3.184
    0.64 14093.24 3445.243   70.571
    0.64 11526.15 2798.807 -118.082
    0.66 11983.58 3213.819  -43.102
    0.66 12543.70 2553.149   30.964
    0.61 12265.42 5667.014  130.876
    0.69 12148.04 2177.882  -74.354
    0.69 12317.81 1590.979  -46.375
    0.71 13400.94 1394.521 -163.875
    0.72 14871.19  820.268  -15.731
    0.70 12814.35 1780.654 -198.836
    0.64 12028.13 5044.001  101.609
    0.65 11489.36 2767.148  -62.484
    0.62 10742.23 3906.257 -149.475
    0.68 13075.84 1957.190   -7.066
    0.71 13388.08 1106.995 -240.997
    0.60  9892.93 4592.401 -119.433
    0.66 11900.82 2194.803 -197.213
    0.68 12284.43 2144.677  -43.692
    0.66 11400.01 2376.868 -158.656
    0.65 12253.92 2316.353 -129.582
    0.65 11394.54 2446.316 -137.048
    0.64 11271.08 2860.936 -115.739
    0.67 11608.10 2595.770 -168.516
    0.64 11628.46 2875.197   72.603
    0.64 10848.75 3008.680   -4.572
    0.64 12329.24 3110.119  159.026
    0.63 11728.03 3422.704   25.370
    0.64 11727.94 3263.889 -107.555
    0.62 11731.89 4494.718  -17.966
    0.64 11364.13 3117.134 -118.291
    0.59  9750.90 4883.663 -156.233
    0.68 12660.28 1741.102  -85.179
    0.61 10336.07 3589.706 -209.087
    0.64 11141.97 3271.672  -98.470
    0.72 13559.66  938.779 -190.829
    0.67 12597.17 2366.603   -1.624
    0.75 14763.27   76.865   -8.078
    0.64 11836.09 3924.016 -107.432
    0.62 10263.49 3286.338 -239.473
    0.62 11180.37 3640.510    9.469
    0.59 10947.42 6210.441   54.265
    0.66 11872.46 2114.109  -47.863
    0.65 11843.85 2542.449 -119.757
    0.64 11368.36 3765.730  -92.984
    0.68 12065.58 1856.506  -84.815
    0.62 11983.04 3955.640  -72.679
    0.66 11723.97 1993.868 -222.555
    0.68 12313.61 1806.500 -153.050
    0.70 13165.90 1253.157  -67.294
    0.65 13257.79 5108.118  157.921
    0.66 11944.05 2562.606  -69.209
    0.62 11116.02 3486.479  105.738
    0.73 13608.61 1100.069  -44.592
    0.66 12724.05 2379.323  -11.489
    0.63 11047.18 3034.166 -120.842
    0.63 11299.85 3218.408 -183.032
    0.65 11809.55 3339.277   26.927
    0.70 14079.88 1737.628  -16.782
    0.65 11736.66 2350.692 -267.571
    0.67 12671.86 2388.375  -96.271
    0.63 10988.58 3033.764  -66.051
    0.64 11299.12 3949.868    4.013
    0.63 12264.67 4881.256  -76.946
    0.62 11238.27 3315.634 -218.428
    0.70 12760.21 2132.202  158.385
    0.62 10906.45 2943.747   17.275
    0.61 11098.03 3825.345 -173.256
    0.65 11243.79 3235.724  -13.411
    0.63 11658.38 2681.222 -128.337
    0.64 11571.96 2741.108 -119.665
    0.63 11482.01 4756.059  -63.437
    0.72 13854.05  967.735    6.478
    0.68 13400.74 2173.769  -39.331
    0.66 13517.71 2257.057  -51.296
    0.72 13688.02  885.161 -124.230
    0.65 12368.34 2617.787 -206.454
    0.66 12468.27 2362.921    6.611
    0.60 10342.27 3685.688 -164.151
    0.60 15140.27 10637.134   44.338
    0.65 12571.08 3362.767  -21.975
    0.66 13104.67 3756.877   81.517
    0.74 14484.78 1116.796   49.284
    0.74 14909.42   31.886 -265.965
    0.64 10987.01 3009.508 -207.798
    0.58  9865.78 6034.253  -98.818
    0.56  9505.81 5039.974 -199.676
    0.70 13563.79 2120.863  -94.208
    0.64 11097.27 3284.883  -76.065
    0.66 13515.50 2019.709  -92.294
    0.63 12296.35 4844.806   58.570
    0.68 12441.40 1608.729 -101.258
    0.67 12532.10 2205.053  -70.283
    0.75 14230.03 1228.745  145.124
    0.70 14093.88 1298.898 -173.554
    0.63 11286.04 4160.358  -86.508
    0.62 10974.45 3907.834  -55.097
