Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 112     5.380  -9691389.799  187559061  -0.00268   0.03527
 113     5.400  -9691593.326  188289107   0.01005   0.05863
 114     5.590  -9691429.337  190005551  -0.00363   0.04529
 115     5.440  -9691122.263  187062745  -0.00267   0.02000
 116     5.390  -9691348.356  191403938   0.00048   0.03486
 117     5.350  -9691373.636  189026765  -0.00492   0.03176
 118     5.300  -9691287.849  188389208  -0.00049   0.04281
 119     5.290  -9691376.313  186098584   0.01223   0.05645
 120     5.440  -9691375.801  182300478   0.00123   0.05421
 121     5.210  -9691406.849  187136557   0.00371   0.02979
 122     5.350  -9691572.272  183316060   0.01152   0.05555
 123     5.300  -9691467.815  190116159   0.00380   0.03782
 124     5.460  -9691383.878  187255107   0.00169   0.03895
 125     5.380  -9691451.936  182860993   0.00920   0.07064
 126     5.390  -9691131.829  191941854  -0.00131   0.02784
 127     5.430  -9691413.757  190720701   0.00613   0.05252
 128     5.120  -9691451.719  189024162   0.00439   0.02573
 129     5.150  -9691426.873  184760040   0.00000   0.04737
 130     5.340  -9691584.154  184061583   0.00961   0.05425
 131     5.250  -9691566.541  187039395   0.00812   0.04008
 132     5.310  -9691441.907  183181459   0.00053   0.05502
 133     5.380  -9691565.216  181026816   0.00898   0.07065
 134     5.250  -9691391.172  183566608   0.00159   0.06186
 135     5.310  -9691589.346  180807261   0.00560   0.07702
 136     5.320  -9691468.509  180408927   0.00336   0.06510
 137     5.330  -9691271.788  182475506   0.00105   0.05814
 138     5.350  -9691408.046  190208266   0.00511   0.03197
 139     5.590  -9691347.374  187282197  -0.00356   0.02831
 140     5.340  -9691289.323  182815350   0.01226   0.05279
 141     5.340  -9691351.322  188107654  -0.00097   0.03262
 142     5.350  -9691452.816  187565744  -0.00011   0.04020
 143     5.300  -9691411.605  185099475   0.00587   0.04974
 144     5.310  -9691419.145  185281726   0.00442   0.05474
 145     5.270  -9691297.644  185654468  -0.00002   0.03198
 146     5.500  -9691521.385  181846472  -0.00025   0.05182
 147     5.310  -9691335.868  185150911  -0.00222   0.05251
 148     5.300  -9691554.841  181433560   0.00791   0.04478
 149     5.480  -9691161.293  187388661  -0.00159   0.03474
 150     5.400  -9691385.775  181838771   0.00671   0.04752
 151     5.270  -9691481.338  182971871   0.00596   0.06276
 152     5.370  -9691417.619  179599614   0.00173   0.07539
 153     5.600  -9691455.598  189667825  -0.00257   0.01936
 154     5.470  -9691344.090  187276307   0.00670   0.04547
 155     5.320  -9691419.239  188704417  -0.00163   0.03844
 156     5.440  -9691352.478  185602204   0.00353   0.04643
 157     5.510  -9691463.614  194467376   0.00422   0.01749
 158     5.270  -9691344.725  189950681   0.00299   0.03068
 159     5.390  -9691423.945  184516267   0.01271   0.06780
 160     5.350  -9691305.688  189029776   0.00430   0.02599
 161     5.610  -9691496.580  183711454   0.00017   0.04696
 162     5.270  -9691380.998  178332938   0.01117   0.07180
 163     5.540  -9691495.575  186610340   0.01051   0.04813
 164     5.400  -9691246.220  188866419  -0.00368   0.03813
 165     5.520  -9691502.145  188238520  -0.00308   0.02819
 166     5.410  -9691470.181  185287249   0.00565   0.04811
 167     5.410  -9691577.496  186902496   0.01052   0.03385
 168     5.470  -9691541.740  182443209   0.00884   0.04217
 169     5.580  -9691316.786  186755738  -0.00056   0.04822
 170     5.330  -9691367.836  188812919   0.00283   0.04155
 171     5.410  -9691409.334  182892851   0.00289   0.06456
 172     5.350  -9691455.975  185343612   0.00280   0.04950
 173     5.440  -9691374.854  184864174   0.00897   0.05639
 174     5.360  -9691761.772  179430553   0.00832   0.06005
 175     5.200  -9691377.495  186344199   0.00768   0.04093
 176     5.420  -9691535.530  188577106   0.00183   0.02752
 177     5.220  -9691376.002  188749343   0.00172   0.02694
 178     5.510  -9691514.846  184914125   0.00066   0.04370
 179     5.200  -9691560.259  185213471  -0.00201   0.04999
 180     5.300  -9691419.865  186903579   0.01284   0.04071
 181     5.350  -9691679.983  182226135   0.00635   0.05067
 182     5.370  -9691402.004  188866609   0.00718   0.02621
 183     5.380  -9691446.679  185618653   0.00820   0.05532
 184     5.430  -9691375.419  186493170   0.00108   0.04375
 185     5.370  -9691268.483  191860919  -0.00083   0.02408
 186     5.340  -9691404.637  183498610   0.00622   0.06398
 187     5.270  -9691426.355  184675752   0.00093   0.04639
 188     5.450  -9691529.700  184130060  -0.00098   0.05235
 189     5.260  -9691372.647  192713630   0.00087   0.02837
 190     5.140  -9691462.220  178991045   0.00908   0.07270
 191     5.460  -9691695.802  182321211   0.00584   0.04977
 192     5.340  -9691454.065  178785362   0.00981   0.05706
 193     5.450  -9691452.107  185567904   0.00896   0.05189
 194     5.410  -9691523.804  180727089   0.00338   0.07013
 195     5.430  -9691398.924  182325540  -0.00413   0.04973
 196     5.370  -9691432.146  180796639   0.00857   0.07761
 197     5.240  -9691596.288  185274472   0.00224   0.03485
 198     5.510  -9691641.397  183506614   0.00459   0.06019
 199     5.540  -9691227.170  189588372  -0.00338   0.04163
 200     5.360  -9691568.852  180883205   0.01246   0.06060
 201     5.420  -9691421.916  188651616   0.00760   0.04068
 202     5.310  -9691359.069  188710848  -0.00233   0.03848
 203     5.260  -9691413.184  183772118   0.00299   0.03987
 204     5.530  -9691421.265  182507186   0.00771   0.04750
 205     5.320  -9691560.537  183405415   0.00416   0.06682
 206     5.350  -9691310.883  181954465   0.00465   0.07125
 207     5.420  -9691344.510  185084717   0.00509   0.04345
 208     5.260  -9691284.739  184968865   0.00903   0.05908
 209     5.340  -9691376.848  191688727   0.00942   0.02280
 210     5.400  -9691436.138  182609023   0.01143   0.04447
 211     5.250  -9691410.039  181470628   0.00797   0.07116
 212     5.150  -9691238.680  181496659   0.00515   0.05746
 213     5.190  -9691357.408  184867518   0.00931   0.05535
 214     5.310  -9691311.430  189413361   0.00704   0.05206
 215     5.390  -9691216.366  183673603  -0.00727   0.05611
 216     5.370  -9691387.380  191218420   0.00394   0.04737
 217     5.420  -9691436.350  186939333   0.00171   0.03338
 218     5.590  -9691407.270  183447021   0.00687   0.05828
 219     5.390  -9691495.859  190388957   0.00903   0.03675
 220     5.400  -9691438.174  179251018   0.00863   0.06594
 221     5.570  -9691253.522  186957031  -0.00259   0.05498
 222     5.250  -9691516.538  186827690   0.00474   0.05004
 223     5.350  -9691597.973  181882661   0.00621   0.05282
 224     5.360  -9691275.475  190453460  -0.00430   0.02625
 225     5.260  -9691407.260  184496135   0.01076   0.05235
 226     5.330  -9691462.276  183358822   0.00314   0.05549
 227     5.290  -9691195.872  188545923  -0.00725   0.04141
 228     5.490  -9691408.044  186251112  -0.00072   0.03442
 229     5.350  -9691295.442  181331253  -0.00073   0.06949
 230     5.350  -9691317.357  178210277  -0.00164   0.06500
 231     5.450  -9691607.408  178561835   0.00288   0.05723
 232     5.530  -9691257.920  189586596  -0.00619   0.05012
 233     5.490  -9691639.619  178437247   0.00623   0.07933
 234     5.450  -9691349.963  192250972   0.00390   0.00797
 235     5.230  -9691465.156  182433428   0.00569   0.05871
 236     5.320  -9691325.480  180936889  -0.00226   0.06181
 237     5.490  -9691657.585  183078781   0.01501   0.07343
 238     5.390  -9691427.808  188465401  -0.00006   0.04976
 239     5.480  -9691437.248  187932955   0.00702   0.03436
 240     5.450  -9691565.153  182810404   0.00594   0.05420
 241     5.310  -9691470.774  189161423   0.00343   0.02610
 242     5.460  -9691562.085  187011408   0.00338   0.02683
 243     5.480  -9691299.804  188276690   0.00337   0.04227
 244     5.490  -9691254.072  191293319   0.00304   0.02836
 245     5.400  -9691546.779  180262620   0.00888   0.05294
 246     5.450  -9691419.380  186505075   0.00440   0.04135
 247     5.620  -9691564.062  186012124   0.00666   0.05518
 248     5.400  -9691400.915  179789375   0.01273   0.07470
 249     5.220  -9691440.126  177932896   0.01180   0.06090
 250     5.610  -9691319.192  183223519   0.00745   0.05956
 251     5.310  -9691420.775  189138064  -0.00178   0.05774
 252     5.240  -9691411.671  181710492   0.00634   0.07513
 253     5.390  -9691201.833  188253642  -0.00264   0.03661
 254     5.420  -9691505.517  184932797  -0.00349   0.04271
 255     5.200  -9691530.035  182921163   0.01213   0.06360
 256     5.240  -9691535.775  186411766   0.01254   0.04759
 257     5.500  -9691337.984  189138783  -0.00316   0.04489
 258     5.360  -9691443.606  189782536   0.00563   0.03493
 259     5.380  -9691336.116  191596929  -0.00676   0.04772
 260     5.450  -9691623.703  180753751  -0.00133   0.05851
 261     5.250  -9691416.162  183732650   0.00414   0.04817
 262     5.420  -9691424.432  185878790   0.00686   0.05482
 263     5.490  -9691468.108  188648092   0.00517   0.04240
 264     5.460  -9691475.116  183669947   0.00912   0.04629
 265     5.360  -9691371.414  187616501   0.00826   0.03760
 266     5.310  -9691262.731  192310249   0.00279   0.03763
 267     5.280  -9691386.204  188194805   0.00869   0.04287
 268     5.450  -9691397.654  186709728   0.00209   0.04045
 269     5.370  -9691329.101  191665052  -0.00272   0.03068
 270     5.500  -9691560.434  191659855   0.00263   0.02175
 271     5.320  -9691342.815  188326655   0.00481   0.03196
 272     5.370  -9691328.917  188484434  -0.00454   0.04129
 273     5.290  -9691477.062  179211556   0.00610   0.07010
 274     5.250  -9691432.924  184418031   0.00789   0.04076
 275     5.310  -9691310.123  185828867   0.00235   0.04543
 276     5.460  -9691477.286  185871999  -0.00324   0.03502
 277     5.190  -9691364.482  185409465   0.00443   0.03249
 278     5.390  -9691472.227  185117525   0.00876   0.03711
 279     5.250  -9691204.893  186696291  -0.00064   0.05549
 280     5.320  -9691472.950  184051570   0.00750   0.06533
 281     5.550  -9691360.210  180582547   0.00361   0.05865
 282     5.190  -9691342.117  189136898   0.00208   0.03495
 283     5.270  -9691566.294  183834664   0.00869   0.05336
 284     5.270  -9691321.581  186495125   0.01316   0.04539
 285     5.380  -9691422.548  181409278   0.00744   0.05968
 286     5.430  -9691439.121  186053313   0.00154   0.05575
 287     5.410  -9691447.291  188063974   0.00287   0.04237
 288     5.380  -9691487.879  181829098   0.00881   0.06218
 289     5.340  -9691299.059  183246977   0.00072   0.05158
 290     5.370  -9691301.594  188047138   0.00251   0.04668
 291     5.310  -9691367.526  185096663   0.00808   0.05977
 292     5.500  -9691535.113  182937300   0.00371   0.04535
 293     5.440  -9691179.540  186457427  -0.00423   0.04903
 294     5.250  -9691429.111  188491376   0.00265   0.03265
 295     5.310  -9691472.615  190930965   0.00565   0.01109
 296     5.410  -9691464.243  184384378   0.00354   0.05599
 297     5.340  -9691213.531  189411896   0.01083   0.04465
 298     5.430  -9691435.884  182398715  -0.00103   0.04889
 299     5.130  -9691394.677  184683874   0.00110   0.04186
 300     5.280  -9691221.407  185738463  -0.00264   0.03616
 301     5.430  -9691416.000  181657790   0.00567   0.05190
 302     5.460  -9691473.061  186858713   0.00765   0.03781
 303     5.490  -9691338.723  187204280  -0.00208   0.05378
 304     5.320  -9691447.070  184191291   0.00507   0.05770
 305     5.360  -9691406.030  184502253  -0.00355   0.04454
 306     5.380  -9691440.705  183737643   0.00311   0.04415
 307     5.330  -9691365.145  189424759   0.00649   0.03481
 308     5.390  -9691397.629  185931615   0.00443   0.05560
 309     5.420  -9691527.980  180843104   0.00733   0.05949
 310     5.440  -9691479.114  186853899   0.01247   0.04523
 311     5.630  -9691465.885  186853060   0.00086   0.04029
 312     5.540  -9691290.556  180694133  -0.00278   0.07647
 313     5.420  -9691417.792  188448699   0.00257   0.05095
 314     5.290  -9691329.498  185186546   0.00658   0.05796
 315     5.260  -9691408.508  185646251   0.00192   0.04571
 316     5.360  -9691229.704  183506287   0.00261   0.04783
 317     5.560  -9691558.430  176649128   0.00906   0.06502
 318     5.550  -9691406.316  185287826   0.00159   0.04543
 319     5.170  -9691421.658  188872933   0.01132   0.04344
 320     5.430  -9691498.325  184569398   0.00428   0.03398
 321     5.360  -9691230.915  182065890   0.00191   0.06389
 322     5.250  -9691450.759  184689479   0.00560   0.06872
 323     5.210  -9691622.464  182141992   0.00299   0.04645
 324     5.620  -9691307.220  190143942  -0.00562   0.02448
 325     5.500  -9691204.339  184659053  -0.00439   0.06582
 326     5.540  -9691597.490  190909177   0.00507   0.02876
 327     5.540  -9691273.189  182233983  -0.00027   0.06548
 328     5.640  -9691488.751  187189814  -0.00111   0.03298
 329     5.500  -9691586.784  182386396  -0.00101   0.05021
 330     5.420  -9691467.314  190537294   0.00337   0.00754
 331     5.520  -9691368.343  184587369   0.00454   0.05468
 332     5.330  -9691405.774  183629175   0.01001   0.04909
 333     5.320  -9691536.230  181220492   0.01061   0.06403
 334     5.460  -9691548.353  178877996   0.00833   0.06729
 335     5.390  -9691277.510  192022684   0.00042   0.02796
 336     5.390  -9691425.521  184547115   0.00259   0.04536
 337     5.570  -9691499.705  185057461   0.00770   0.03855
 338     5.410  -9691410.405  189467464  -0.00079   0.04745
 339     5.380  -9691418.624  190173875  -0.00136   0.03027
 340     5.410  -9691539.999  190235179  -0.00175   0.01707
 341     5.220  -9691239.279  186453750  -0.00730   0.03818
 342     5.400  -9691515.049  190691161   0.00864   0.03416
 343     5.310  -9691382.941  187093657   0.00569   0.06155
 344     5.210  -9691280.693  194322363   0.01075   0.02086
 345     5.360  -9691460.559  184858327   0.01799   0.06481
 346     5.380  -9691419.045  188155638   0.00314   0.05160
 347     5.270  -9691404.658  194291873   0.00560   0.01772
 348     5.120  -9691363.438  187054318   0.00760   0.04874
 349     5.380  -9691323.939  185510877   0.00152   0.04352
 350     5.530  -9691487.487  189716258   0.00236   0.02980
 351     5.540  -9691386.995  185290962   0.00435   0.05188
 352     5.430  -9691586.123  185674830   0.00396   0.04255
 353     5.440  -9691415.613  188467492   0.00143   0.02985
 354     5.470  -9691502.861  180252129   0.01780   0.06496
 355     5.420  -9691346.592  187389988  -0.01002   0.03051
 356     5.390  -9691323.749  181976363  -0.00101   0.04414
 357     5.470  -9691452.077  186964317  -0.00091   0.02001
 358     5.550  -9691340.666  188816011  -0.00394   0.03738
 359     5.370  -9691326.480  188262172  -0.01211   0.01443
 360     5.420  -9691465.698  185209223  -0.00499   0.04987
 361     5.240  -9691395.911  187257148  -0.00142   0.04375
 362     5.360  -9691333.966  186405637  -0.00297   0.04843
 363     5.350  -9691449.700  188228116  -0.00538   0.02641
 364     5.390  -9691552.544  187977284   0.00112   0.05891
 365     5.620  -9691542.435  185608409  -0.00285   0.03933
 366     5.140  -9691410.225  184792319   0.00885   0.04688
