Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     0.600  -15580998.703  1756416   0.00004  -0.00105
   2     0.700  -15581009.490  1968920  -0.00006  -0.00201
   3     0.700  -15580979.069  1883149  -0.00447  -0.00224
   4     0.600  -15580962.852  2118567  -0.00325  -0.00853
   5     0.700  -15580884.010  1870163  -0.00474  -0.00303
   6     0.600  -15580988.080  2131517  -0.01103  -0.00675
   7     0.600  -15581008.543  1503841  -0.00478   0.00499
   8     0.700  -15580943.061  2523289  -0.00724  -0.01194
   9     0.600  -15581029.760  1304403  -0.00313   0.00856
  10     0.600  -15580989.339  1752708  -0.00509   0.00004
  11     0.600  -15580943.626  2115755   0.01099  -0.00287
  12     0.700  -15580924.781  2364091  -0.00399  -0.00982
  13     0.600  -15580954.442  2054121  -0.00503  -0.00580
  14     0.600  -15580962.148  1780940   0.01218   0.00319
  15     0.600  -15580946.380  2088691   0.00308  -0.00124
  16     0.600  -15581012.268  1423621  -0.00444   0.00630
  17     0.700  -15580952.756  1912138   0.00880  -0.00018
  18     0.600  -15580970.263  1567247  -0.00766   0.00304
  19     0.600  -15581005.047  2037174   0.00366  -0.00679
  20     0.600  -15580938.930  1995572   0.00101   0.00080
  21     0.600  -15581010.645  2202351   0.00126  -0.01096
  22     0.700  -15580895.289  1810426  -0.01496   0.00308
  23     0.600  -15580998.515  2284692  -0.00501  -0.00892
  24     0.600  -15580963.400  1907226  -0.00203  -0.00431
  25     0.700  -15580930.875  1526816   0.00096   0.00657
  26     0.600  -15580983.645  1350274  -0.00570   0.00861
  27     0.600  -15580941.043  1593834   0.00291   0.00337
  28     0.600  -15581027.681  2112632  -0.00505  -0.00824
  29     0.600  -15580992.380  1503907   0.00308   0.00575
  30     0.600  -15581005.090  1569531   0.00385   0.00420
  31     0.700  -15580930.137  1526376  -0.00168   0.00575
  32     0.600  -15580915.433  2625938  -0.00408  -0.01522
  33     0.600  -15580954.162  1546121  -0.00031   0.00331
  34     0.700  -15580926.581  2131633  -0.01475  -0.00163
  35     0.700  -15580936.304  1763838  -0.01002   0.00053
  36     0.700  -15580978.647  1581290   0.00361   0.00322
  37     0.600  -15580985.201  1718615  -0.00127   0.00011
  38     0.700  -15580950.419  2206347  -0.00207  -0.01080
  39     0.700  -15580915.978  1872188  -0.00722  -0.00181
  40     0.600  -15580983.870  1484853   0.00654   0.00558
  41     0.600  -15580973.354  1561211   0.00621   0.00375
  42     0.700  -15580906.876  2343736   0.00346  -0.01031
  43     0.600  -15581047.014  1627002   0.00755   0.00356
  44     0.600  -15580995.559  1911728   0.01150  -0.00372
  45     0.600  -15580938.725  1982928   0.00620  -0.00401
  46     0.600  -15580954.561  1871088   0.00397   0.00231
  47     0.700  -15580899.827  2515271  -0.00725  -0.01277
  48     0.700  -15580940.151  1933802  -0.00922   0.00285
  49     0.700  -15580927.145  2300872  -0.00521  -0.00745
  50     0.600  -15580942.017  1607418   0.00182   0.00391
  51     0.600  -15580966.712  1994580  -0.00358  -0.00270
  52     0.600  -15580938.199  1734005  -0.00134   0.00329
  53     0.600  -15580968.057  1618032   0.00459   0.00347
  54     0.700  -15580950.469  1661991   0.00187   0.00160
  55     0.600  -15581022.583  1390943   0.00034   0.00733
  56     0.700  -15580880.995  2212811  -0.00116  -0.00299
  57     0.600  -15580960.906  1460541   0.00463   0.00564
  58     0.600  -15580999.399  1995613   0.00756   0.00095
  59     0.600  -15580986.895  1471074   0.00230   0.00613
  60     0.600  -15580947.878  1541473   0.00220   0.00462
  61     0.600  -15580959.653  1426368  -0.00212   0.00701
  62     0.600  -15581011.896  1419129  -0.00000   0.00706
  63     0.600  -15581008.051  1488849   0.00571   0.00574
  64     0.600  -15580967.235  1666315  -0.00315   0.00098
  65     0.600  -15580992.106  2390159   0.00981  -0.00987
  66     0.600  -15581022.604  1508017   0.01115   0.00525
  67     0.700  -15580858.398  1918919  -0.00191   0.00052
  68     0.700  -15580947.017  1931105   0.00657  -0.00132
  69     0.600  -15580987.185  1796086  -0.00249   0.00399
  70     0.600  -15581011.752  1786652  -0.00173  -0.00018
  71     0.600  -15580979.077  1425515   0.00348   0.00739
  72     0.700  -15580897.157  2226337  -0.00524  -0.00528
  73     0.600  -15581010.665  2158202  -0.00076  -0.00424
  74     0.700  -15580932.136  1413496  -0.01127   0.00710
  75     0.600  -15581064.193  1930529   0.00226  -0.00258
  76     0.600  -15581000.972  1869688  -0.00378   0.00170
  77     0.600  -15581011.279  1790882   0.00885   0.00092
  78     0.600  -15580935.381  2232228  -0.00299  -0.00215
  79     0.600  -15580960.293  2060716   0.00475  -0.00673
  80     0.600  -15580957.541  1760481   0.00319   0.00315
  81     0.600  -15580968.896  1888371  -0.00076   0.00125
  82     0.700  -15580930.976  2295127  -0.00362  -0.01126
  83     0.600  -15580952.429  2047629  -0.00964  -0.00754
  84     0.600  -15581060.478  1581409   0.00890   0.00387
  85     0.600  -15580960.392  2142129  -0.00626  -0.00683
  86     0.600  -15580977.381  1731348   0.00225  -0.00008
  87     0.600  -15580929.385  1585751   0.00087   0.00597
  88     0.600  -15581016.690  1493311   0.00442   0.00539
  89     0.600  -15581043.958  1797065   0.00368  -0.00025
  90     0.700  -15580967.262  1735114   0.00298   0.00423
  91     0.600  -15581001.253  1761886   0.00608   0.00078
  92     0.700  -15580948.119  1889900  -0.00357   0.00198
  93     0.700  -15580967.137  1426215  -0.00239   0.00719
  94     0.600  -15580962.776  1970420   0.01062  -0.00467
  95     0.700  -15580921.970  2374266   0.00908  -0.01250
  96     0.700  -15580878.667  2044908  -0.00902   0.00010
  97     0.600  -15580981.381  2200179  -0.00953  -0.00731
  98     0.700  -15580931.108  2291556   0.00285  -0.00781
  99     0.600  -15580972.477  1885808  -0.00083   0.00120
 100     0.700  -15580961.574  1989154  -0.00302  -0.00095
 101     0.700  -15580941.288  1581255  -0.00589   0.00351
 102     0.700  -15581001.300  1832737  -0.00114  -0.00155
 103     0.600  -15580934.966  1774429  -0.01389   0.00418
 104     0.700  -15581006.261  1302551  -0.00745   0.00885
 105     0.600  -15580937.763  1854731   0.00048   0.00212
 106     0.600  -15580971.832  2079906   0.00884  -0.00645
 107     0.600  -15580977.872  2044897  -0.00115  -0.00211
 108     0.600  -15580958.713  2054294   0.00517  -0.00028
 109     0.700  -15580988.791  1572066   0.00687   0.00418
 110     0.700  -15580973.034  1757307  -0.00289   0.00342
 111     0.600  -15580950.460  1594624   0.00405   0.00295
 112     0.600  -15580980.896  2075004   0.00514  -0.00749
 113     0.600  -15580933.550  1761833   0.00328   0.00161
 114     0.600  -15581010.320  1495559  -0.00041   0.00577
 115     0.600  -15580950.968  2543003   0.00368  -0.01292
 116     0.600  -15580972.278  1568372  -0.00648   0.00305
 117     0.600  -15580973.570  1892875  -0.00077  -0.00375
 118     0.700  -15581040.303  1344085  -0.00572   0.00840
 119     0.600  -15580955.493  1864194   0.00394   0.00378
 120     0.700  -15580975.151  1505817   0.00107   0.00525
 121     0.700  -15580895.330  2752851  -0.00866  -0.01552
 122     0.600  -15580910.309  1858008  -0.00818   0.00298
 123     0.600  -15580971.641  1504632  -0.00468   0.00700
 124     0.700  -15580970.479  1823603   0.00193   0.00026
 125     0.700  -15580994.116  1636486   0.00954   0.00318
 126     0.600  -15580950.384  1931408   0.00644  -0.00412
 127     0.600  -15581028.000  1597181   0.00786   0.00361
 128     0.700  -15580885.058  1575414  -0.00098   0.00335
 129     0.600  -15580971.792  1597725   0.00030   0.00421
 130     0.700  -15580916.089  1486306  -0.00487   0.00586
 131     0.600  -15581000.700  1991277  -0.00288  -0.00227
 132     0.600  -15581020.007  1702562   0.00981   0.00153
 133     0.600  -15580956.584  1704010  -0.00535   0.00325
 134     0.600  -15581009.884  1928473   0.00582  -0.00331
 135     0.600  -15580997.891  1641772   0.00173   0.00497
 136     0.700  -15580908.055  1986170  -0.00138  -0.00166
 137     0.600  -15580981.121  2225360   0.00923  -0.00596
 138     0.600  -15581001.980  2001185   0.00197  -0.00650
 139     0.600  -15580969.442  1676371   0.00062   0.00446
 140     0.600  -15580963.225  2225529   0.00035  -0.00991
 141     0.600  -15580943.287  1932395  -0.00312   0.00047
 142     0.600  -15580991.106  2160465   0.00027  -0.00556
 143     0.700  -15580974.636  2207036   0.00033  -0.00621
 144     0.600  -15580986.003  1427075   0.00097   0.00668
 145     0.600  -15580980.463  1451362  -0.00466   0.00611
 146     0.600  -15580999.507  1673309   0.00501   0.00424
 147     0.600  -15581064.124  2027782   0.00261  -0.00685
 148     0.700  -15580975.246  1546198  -0.00282   0.00371
 149     0.700  -15580985.734  1545649   0.00224   0.00428
 150     0.700  -15581001.204  2206772   0.00240  -0.00779
 151     0.600  -15580965.906  1392323  -0.00034   0.00727
 152     0.600  -15581001.629  1573542  -0.01155   0.00573
 153     0.600  -15580964.917  1754172  -0.00302   0.00181
 154     0.700  -15580963.107  1621693  -0.01434   0.00585
 155     0.600  -15580965.034  1547718  -0.00274   0.00583
 156     0.700  -15580952.077  1738708   0.00325   0.00078
 157     0.600  -15580974.347  1931071   0.00296  -0.00488
 158     0.600  -15580931.448  1976368  -0.00203  -0.00025
 159     0.700  -15580994.847  1760743  -0.00246   0.00251
 160     0.600  -15580965.007  2040002  -0.00024  -0.00645
 161     0.700  -15581002.221  1673412   0.00563   0.00174
 162     0.700  -15581041.799  1928922   0.00910  -0.00210
 163     0.600  -15580980.895  1319270  -0.00494   0.00854
 164     0.600  -15580948.765  1932015  -0.00399  -0.00051
 165     0.600  -15580942.908  1846945   0.00232  -0.00223
 166     0.600  -15580999.073  1929596   0.00519  -0.00391
 167     0.700  -15580953.468  2339219   0.00165  -0.00655
 168     0.600  -15580947.678  1899990  -0.00536   0.00209
 169     0.700  -15580974.182  2163099   0.00086  -0.00510
 170     0.600  -15580986.885  2165896   0.00277  -0.01066
 171     0.600  -15580968.379  1746209   0.00335   0.00079
 172     0.700  -15580951.512  1500606  -0.00412   0.00538
 173     0.600  -15580944.869  1949890  -0.00790  -0.00414
 174     0.700  -15580939.813  1664365   0.00564   0.00096
 175     0.600  -15581024.380  1517356   0.00450   0.00450
 176     0.700  -15581062.798  1798353   0.01115   0.00151
 177     0.700  -15581002.158  1548472   0.00045   0.00432
 178     0.700  -15580918.834  1925952   0.00412  -0.00425
 179     0.600  -15580985.880  1790767   0.00329  -0.00030
 180     0.600  -15580964.955  2180815  -0.00391  -0.00229
 181     0.700  -15580996.592  1790262   0.00282   0.00281
 182     0.600  -15580994.648  1638278   0.00183   0.00199
 183     0.600  -15581019.147  1491495  -0.00886   0.00712
 184     0.600  -15580988.660  1824709   0.00846  -0.00115
 185     0.600  -15580960.185  1561289   0.00502   0.00592
 186     0.600  -15580951.177  2104373  -0.00089  -0.00492
 187     0.700  -15581004.738  2019002  -0.00965  -0.00707
 188     0.600  -15580980.262  2153657   0.00711  -0.00768
 189     0.700  -15580968.412  2159668   0.00447  -0.00285
 190     0.600  -15581000.842  1464820  -0.00858   0.00603
 191     0.600  -15580978.531  1746976  -0.00571   0.00424
 192     0.700  -15580982.027  1691153   0.00543   0.00349
 193     0.600  -15581046.673  1388901  -0.00226   0.00708
 194     0.700  -15580984.687  2135788   0.00441  -0.00361
 195     0.700  -15581009.329  1282733  -0.00805   0.00952
 196     0.700  -15580911.526  1625195   0.00268   0.00473
 197     0.700  -15580994.293  1518405  -0.00484   0.00429
 198     0.700  -15580953.661  2099030  -0.00632  -0.00419
 199     0.600  -15580913.393  1873740   0.00605  -0.00206
 200     0.700  -15580907.549  1604947   0.00634   0.00415
 201     0.700  -15580963.513  1616172   0.00290   0.00490
 202     0.600  -15580929.181  2140207  -0.00052  -0.00500
 203     0.600  -15581060.600  1375710   0.00444   0.00760
 204     0.600  -15581045.633  2243949  -0.00314  -0.01085
 205     0.600  -15581005.262  1649910  -0.00743   0.00449
 206     0.600  -15580986.616  2038507  -0.00108  -0.00627
 207     0.700  -15580967.812  1660034  -0.00135   0.00349
 208     0.700  -15580920.578  1686389   0.00245   0.00467
 209     0.700  -15580916.808  2525960  -0.00296  -0.01073
 210     0.700  -15580941.072  2193394   0.00617  -0.00582
 211     0.700  -15581006.673  2213061   0.00316  -0.00874
 212     0.600  -15580950.564  2481127  -0.00154  -0.00895
 213     0.600  -15581034.004  1425249   0.00742   0.00662
 214     0.600  -15580972.692  1578305   0.00271   0.00565
 215     0.600  -15580970.649  1764861   0.00664   0.00335
 216     0.600  -15580997.361  1571773  -0.00041   0.00588
 217     0.600  -15580998.085  1432266   0.00577   0.00676
 218     0.700  -15580958.073  1742852  -0.00934  -0.00111
 219     0.600  -15580908.634  2412304  -0.00653  -0.01174
 220     0.700  -15580960.869  2014619  -0.00454   0.00095
 221     0.600  -15580944.709  2072732   0.00092   0.00037
 222     0.700  -15581009.932  1886693   0.00429   0.00338
 223     0.600  -15580969.454  1783516   0.01125  -0.00063
 224     0.700  -15581001.386  1582784  -0.00137   0.00310
 225     0.600  -15581026.240  2053591  -0.00252  -0.00533
 226     0.600  -15580957.749  2261370   0.00013  -0.00326
 227     0.700  -15580952.112  2056530   0.00197  -0.00344
 228     0.700  -15580950.455  2248246   0.00363  -0.00599
 229     0.700  -15580984.677  2351721   0.00878  -0.01153
 230     0.600  -15580972.006  1612258   0.00459   0.00521
 231     0.700  -15580952.013  1430042  -0.00958   0.00695
 232     0.700  -15580987.799  1394829  -0.00680   0.00690
 233     0.600  -15581022.803  1686143   0.00791   0.00234
 234     0.600  -15580999.998  1655988  -0.00376   0.00198
 235     0.600  -15580929.255  1819975   0.00409   0.00071
 236     0.600  -15580956.028  2055878   0.00088  -0.00542
 237     0.600  -15581008.693  1701561   0.00664   0.00031
 238     0.700  -15580966.143  1978121  -0.00342  -0.00413
 239     0.600  -15580940.787  2055050   0.01061  -0.00391
 240     0.600  -15581061.520  1443160  -0.00097   0.00738
 241     0.700  -15580950.594  2262766   0.00578  -0.00569
 242     0.600  -15580943.813  1851943  -0.00532   0.00276
 243     0.600  -15580929.067  1619717  -0.00218   0.00305
 244     0.600  -15581030.009  1506826   0.00529   0.00493
 245     0.700  -15580982.925  1376444  -0.00501   0.00685
 246     0.600  -15580974.249  1510897  -0.00210   0.00462
 247     0.700  -15580898.447  2170027   0.00456  -0.00380
 248     0.700  -15580944.848  1814889  -0.00548   0.00043
 249     0.600  -15580978.939  1818203   0.01069  -0.00110
 250     0.700  -15580891.674  1907506  -0.00650   0.00239
 251     0.600  -15580975.190  1825474   0.00492  -0.00102
 252     0.700  -15580947.735  1511761   0.00294   0.00457
 253     0.700  -15580956.860  1934232   0.00377  -0.00487
 254     0.600  -15580947.458  1587919   0.00312   0.00365
 255     0.700  -15580915.298  1476786  -0.01060   0.00551
 256     0.600  -15580999.080  1509062   0.00255   0.00659
 257     0.600  -15580957.509  2341438  -0.00099  -0.00873
 258     0.700  -15580921.751  1740564  -0.00595   0.00411
 259     0.600  -15580924.876  2217332  -0.01428  -0.00375
 260     0.600  -15581055.934  1561719  -0.00162   0.00342
 261     0.600  -15581021.815  1555236   0.00376   0.00340
