
Rho     Fit     CLR     CF
    0.70 11492.05   47.331  -37.609
    0.50 10123.58   59.312  114.704
    0.50 10836.44   51.116 -134.884
    0.50 12209.20    7.674  -89.919
    0.60 10281.80    0.000 -173.837
    0.60 10898.37    0.000  166.049
    0.50 11012.78   27.140  -92.979
    0.60 12395.11    0.000   36.200
    0.70 12050.40   20.551 -201.130
    0.50  9868.47    1.130   -7.242
    0.60 11949.32    0.000  -99.324
    0.60  9943.41    0.000  -16.987
    0.60 10349.31    0.000   15.085
    0.60 11846.02    0.000 -117.686
    0.60  9963.43    0.000   17.388
    0.70 11547.99   12.434 -154.726
    0.50 10105.74  120.030   11.572
    0.60 10731.85    0.000   76.191
    0.60 10191.31    0.000   20.759
    0.70 14399.56   70.247 -190.899
    0.50 10056.26   56.536  154.458
    0.60 10017.48    0.000  -81.277
    0.50 10693.03   32.332 -203.126
    0.50 10299.30   54.209 -111.194
    0.70 10668.98    3.900  -92.001
    0.50 10617.80   79.851   62.920
    0.60 11048.50    0.000  -76.617
    0.60  9376.40    0.000   84.426
    0.60 10730.02    0.000  -87.786
    0.60  9939.68    0.000  -69.766
    0.50  9850.58   65.843   33.949
    0.50 10276.38   48.250   -6.633
    0.60 11143.51    0.000 -133.038
    0.60 10855.56    0.000  -52.336
    0.60 10706.46    0.000  -27.744
    0.60 11032.88    0.000 -266.908
    0.60 10556.96    0.000   80.569
    0.60 12894.47    0.000   29.205
    0.60 10548.76    0.000  -18.782
    0.60 11802.97    0.000   24.366
    0.60 10790.06    0.000 -184.824
    0.60 10624.60    0.000  102.874
    0.60 10458.71    0.000   81.712
    0.50 10163.98   60.692  -69.641
    0.50 11024.66    9.004  -38.946
    0.60 10914.85    0.000  110.081
    0.50  9976.19   67.580   15.565
    0.60 10261.44    0.000  188.356
    0.50 10484.08    6.185   33.462
    0.70 13208.90   58.534 -146.557
    0.50 10544.40   80.977   20.070
    0.60 11168.39    0.000   84.990
    0.50 10513.24   50.581   -2.199
    0.50  9989.43    5.075  112.791
    0.50 10139.24    1.663  -30.554
    0.70 10800.05   35.713  147.922
    0.60 10012.50    0.000  170.203
    0.60 12062.01    0.000  -32.460
    0.60  9718.04    0.000 -151.662
    0.60  9835.74    0.000  -85.470
    0.50 10075.26   58.463 -117.256
    0.50 12231.81   12.758  312.146
    0.50 11071.83   97.912  -19.062
    0.60 10001.96    0.000 -173.724
    0.60 11610.91    0.000  -78.535
    0.50 10199.79   44.665  -29.901
    0.50  9867.16   16.917 -264.244
    0.50 10599.84   67.333   15.787
    0.60 10211.77    0.000 -153.920
    0.50 10290.47    8.785   74.239
    0.60 10920.80    0.000 -165.425
    0.60 10166.44    0.000 -234.264
    0.60  9718.02    0.000   35.984
    0.60 11361.42    0.000   74.155
    0.50 10742.95   16.909  199.641
    0.60  9781.25    0.000  101.517
    0.50 10849.61   27.132  -51.001
    0.70 11711.38    1.935   20.560
    0.70 14164.77  113.232  -97.619
    0.60  9531.34    0.000 -159.678
    0.60 13144.34    0.000  311.175
    0.70 14206.00   40.113 -140.451
    0.50  9666.92   58.050  -70.923
    0.50 11050.73   34.259  -57.489
    0.50 11924.62   52.762    6.131
    0.50 10793.04   23.329  218.714
    0.60 11036.85    0.000 -269.638
    0.60 10688.68    0.000 -185.903
    0.50  9789.86   55.462    2.864
    0.60 10827.69    0.000  -80.012
    0.50  9800.04   91.920 -178.409
    0.60  9823.68    0.000 -172.525
    0.60 13347.24    0.000   23.896
    0.60 10126.45    0.000   74.982
    0.50  9842.04   62.025 -186.087
    0.60 10285.15    0.000 -181.999
    0.60 10020.88    0.000   55.823
    0.70 10585.00    4.131  -72.671
    0.60 11573.29    0.000  165.791
    0.70 13839.71   25.061   98.183
    0.50  9049.74   67.897   -4.145
    0.60  9657.13    0.000  -49.282
    0.60 12395.85    0.000  -89.612
    0.60  9468.26    0.000  -19.511
    0.60  9664.20    0.000   32.598
    0.70 12139.19   75.123  100.179
    0.60 10354.31    0.000  -27.081
    0.60 10135.69    0.000 -171.329
    0.70 14490.22   15.175   98.961
    0.60 11558.19    0.000  -17.969
    0.60 10955.54    0.000  -42.426
    0.50 10010.26   73.987  -89.027
    0.50 10555.10   67.375  -41.664
    0.60 10355.71    0.000 -149.655
    0.60 10781.76    0.000 -183.493
    0.50  9814.92   41.919   66.582
    0.60 10731.70    0.000   93.557
    0.60  9829.58    0.000  171.612
    0.60  9605.99    0.000   27.477
    0.60 10353.64    0.000  -88.895
    0.60 10873.84    0.000   33.191
    0.60  9839.59    0.000  -43.209
    0.60 10777.30    0.000 -122.102
    0.50 11967.79  107.362  -68.619
    0.50  9964.08   44.372 -100.749
    0.60 11236.48    0.000 -169.194
    0.50 10432.72   99.967  -73.924
    0.50 11495.27  147.190   46.404
    0.60 11014.06    0.000  -49.933
    0.60 11050.18    0.000   20.235
    0.60 10134.89    0.000 -284.965
    0.70 13063.42    5.054  -15.020
    0.60 10409.28    0.000   24.743
    0.60 10059.56    0.000 -145.844
    0.60 11213.05    0.000  -71.173
    0.60 10728.19    0.000   38.140
    0.60 10416.95    0.000  -55.922
    0.60 10313.89    0.000 -147.799
    0.50  9756.24    9.683 -290.676
    0.80 17684.59  175.857  147.937
    0.50 10412.48   37.800  119.937
    0.60 12387.58    0.000  396.179
    0.60 11644.50    0.000   20.964
    0.50  9838.17   29.952  254.141
    0.60 12293.61    0.000  -18.671
    0.50  9996.05    6.501  -21.338
    0.60  9295.26    0.000   92.109
    0.60 11934.44    0.000   20.737
    0.50 12155.44    8.658   99.317
    0.60 10235.22    0.000   31.666
    0.80 12938.97  190.023 -274.312
    0.60 10691.91    0.000    7.433
    0.60 10073.10    0.000 -124.010
    0.60 10590.87    0.000   11.164
    0.70 11827.17   48.642 -127.445
    0.60 10346.65    0.000  -59.352
    0.50 10324.76   87.754  -69.656
    0.50 11432.66   19.813  -70.437
    0.60 10325.13    0.000 -175.953
    0.60  9515.72    0.000   27.044
    0.70 12155.76   28.934   66.708
    0.60  9937.83    0.000  -18.255
    0.60 10572.83    0.000  -78.015
    0.60 11581.82    0.000 -153.138
    0.50  9219.90   10.820  -47.860
    0.70 13396.26   53.561   73.056
    0.60 11255.14    0.000   29.161
    0.50  9699.15  112.072 -113.879
    0.60 10299.96    0.000  -14.624
    0.50 11061.14    2.470   76.321
    0.50 10057.46   21.503 -127.171
    0.60  9984.29    0.000    2.736
    0.70 12619.13   16.760 -208.938
    0.60  9406.75    0.000  -69.776
    0.60 10029.37    0.000  -58.536
    0.70 13720.56   69.039 -141.951
    0.60 10484.18    0.000 -103.609
    0.60 11268.12    0.000  -50.144
    0.50  9258.00   63.636  -93.383
    0.50  9478.74   30.768 -208.795
    0.60 10320.67    0.000   39.809
    0.60 10727.00    0.000  -30.933
    0.50  9870.47   22.490 -301.616
    0.60  9782.85    0.000 -106.325
    0.60 11024.59    0.000 -266.690
    0.70 11381.42   17.417 -168.160
    0.60 10815.54    0.000   16.711
    0.70 12152.89    2.937 -242.968
    0.50 10739.63   93.616  233.340
    0.60 11458.32    0.000  -38.977
    0.60 11049.58    0.000  -71.181
    0.60 11184.62    0.000  -39.336
    0.60 11266.60    0.000  -14.307
    0.50 10272.45   16.539  -36.037
    0.60 10227.26    0.000 -119.185
    0.40  9830.69  232.294  132.232
    0.60 10672.34    0.000  -58.733
    0.60  8888.99    0.000  -31.344
    0.60 10689.91    0.000  -34.001
    0.60 10257.04    0.000 -134.755
    0.60 12450.90    0.000 -141.715
    0.60 11127.04    0.000  -22.091
    0.60 11509.65    0.000  101.120
    0.60 11056.37    0.000  -85.933
    0.70 11536.50   13.794  -30.567
    0.60 11665.64    0.000  -30.451
    0.50  9143.49   34.433 -274.200
    0.60 10559.23    0.000   45.347
    0.60 11580.51    0.000  -84.529
    0.60 11879.46    0.000 -260.651
    0.50  9218.38   70.711 -206.546
    0.50  9881.98   39.508   -9.583
    0.50  9939.33   75.796 -173.805
    0.60 10354.69    0.000   59.560
    0.60  9422.32    0.000   44.376
    0.50 10168.40   24.576 -123.164
    0.70 11193.82   26.997  -59.182
    0.60 12335.59    0.000  -57.859
    0.70 11514.63   27.489   30.562
    0.60 11211.18    0.000   68.626
    0.60  9968.57    0.000  115.327
    0.60 10047.20    0.000 -123.059
    0.50  9344.31   52.275  138.542
    0.60 11130.92    0.000  -87.545
    0.60 11031.78    0.000  -84.111
    0.70 11442.70   13.973   30.656
    0.60 12329.51    0.000  174.868
    0.60  9518.63    0.000  -66.814
    0.50  9287.98   52.113   86.539
    0.50 10137.04   21.322  141.044
    0.50 11127.21   52.552 -128.488
    0.50  9603.72   56.559   90.251
    0.50 10642.63   63.327  -75.409
    0.60 10381.25    0.000 -170.549
    0.60 11293.54    0.000   23.635
    0.60  9918.45    0.000 -205.387
    0.60 11672.71    0.000  -59.519
    0.50  9966.09   90.994  -23.635
    0.70 13224.92   37.093 -248.462
    0.50  9928.73   31.043   31.970
    0.60  9954.55    0.000 -172.979
    0.60 11235.58    0.000  -39.888
    0.60 12117.58    0.000 -242.481
    0.60  9965.35    0.000 -131.236
    0.60 11555.51    0.000   29.786
    0.60 10235.05    0.000   20.832
    0.50 12187.71  119.219  356.748
    0.60 11634.11    0.000  210.933
    0.60 10256.28    0.000   48.956
    0.60  9827.30    0.000   15.249
    0.60 11493.63    0.000  -99.537
    0.60 11285.35    0.000   82.737
    0.60 11675.97    0.000  -40.730
    0.50 10168.07    3.625 -197.036


Number of simulated fits > obs = 340 (of 1000)
Number of simulated rho  > obs = 111

