Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 110     4.120  -19704321.550  31179746   0.00309   0.00150
 111     4.120  -19704284.088  31742085   0.00307  -0.00288
 112     4.050  -19704342.567  31593964   0.01134  -0.00082
 113     4.120  -19704217.613  32589499   0.00464  -0.00402
 114     3.860  -19704503.353  28741189   0.00411   0.00894
 115     4.210  -19704319.950  31158744   0.00250   0.00004
 116     4.140  -19704252.951  31842688   0.00193  -0.00211
 117     4.120  -19703602.638  35656311  -0.00335  -0.01540
 118     4.150  -19704369.014  31317286   0.00185  -0.00101
 119     4.120  -19703962.499  30407068  -0.00182   0.00447
 120     4.260  -19703988.318  30804167  -0.00436   0.00087
 121     3.980  -19704161.392  33015597   0.00425  -0.00413
 122     4.060  -19704146.731  31041043  -0.00637   0.00152
 123     4.060  -19704200.937  30871373   0.00198   0.00325
 124     4.130  -19703862.951  29447495  -0.00962   0.00625
 125     3.970  -19704106.923  30514177  -0.00067   0.00459
 126     4.000  -19704386.740  27407110   0.00317   0.01007
 127     3.990  -19704143.141  34030107   0.00686  -0.00882
 128     4.050  -19704032.485  31248027   0.00621   0.00178
 129     4.150  -19704040.189  30220662  -0.00195   0.00606
 130     4.100  -19704022.558  30169668  -0.00686   0.00392
 131     3.960  -19704374.254  30543873   0.00099   0.00276
 132     4.080  -19704477.561  29500441   0.00537   0.00471
 133     3.980  -19703687.223  31318505   0.00356   0.00230
 134     4.260  -19703973.224  30309566  -0.00328   0.00189
 135     4.130  -19704323.051  30661601   0.00152   0.00006
 136     4.150  -19704174.681  29905024  -0.00239   0.00555
 137     4.010  -19704033.315  32771969  -0.00839  -0.00456
 138     3.990  -19704458.349  29114348  -0.00162   0.00891
 139     4.130  -19704217.233  32440140   0.00431  -0.00354
 140     4.070  -19703914.828  31437473   0.00141  -0.00221
 141     4.060  -19704047.106  31256174  -0.00069   0.00134
 142     4.170  -19704336.492  29429475  -0.00178   0.00848
 143     4.150  -19703953.660  30947056  -0.00237   0.00047
 144     4.180  -19704252.389  30032786  -0.00304   0.00468
 145     3.970  -19703940.294  29941477  -0.00016   0.00326
 146     4.120  -19703998.591  31175420  -0.00234   0.00085
 147     4.150  -19704499.172  27473399   0.00175   0.01313
 148     4.000  -19704041.330  29752952   0.00420   0.00630
 149     4.130  -19704023.799  31021456   0.00031   0.00170
 150     3.940  -19704128.804  30811186   0.00387   0.00137
 151     4.010  -19704273.412  30581084   0.00388   0.00436
 152     3.940  -19703959.600  32080374   0.00014  -0.00155
 153     3.990  -19704058.615  30329973   0.00161   0.00297
 154     4.110  -19704189.525  32496428   0.00487  -0.00384
 155     3.950  -19704189.519  32072281   0.00556  -0.00041
 156     3.910  -19704588.938  28978733   0.00180   0.00574
 157     4.020  -19704211.827  32024604   0.00180  -0.00148
 158     4.130  -19704066.102  31924371  -0.00023  -0.00361
 159     4.120  -19704077.194  33836808   0.00413  -0.00601
 160     4.090  -19704039.908  31677008   0.00062  -0.00104
 161     4.050  -19704341.426  32069557   0.00246  -0.00129
 162     4.120  -19703785.873  32532055  -0.00250  -0.00338
