
Rho     Fit     CLR     CF

    0.00 13730.25 4692.447  225.849
    0.00 17369.79 2529.527  199.957
    0.00 15457.82 3287.067  113.688
    0.40 15787.51   79.278  266.169
    0.50 26584.99    0.000  285.166
    0.50 18054.69    0.000  291.341
    0.00 16521.26 2638.269  156.431
    0.00 14172.61 4373.369 -165.416
    0.20 16058.37  957.909  232.040
    0.10 18962.79 1507.838  271.053
    0.60 21792.24  142.981  156.831
    0.30 16419.18  288.749  122.860
    0.70 20830.80  485.234  436.842
    0.60 25233.86  122.776  105.812
    0.60 18780.02   91.068 -218.368
    0.30 17811.44  620.317 -552.255
    1.20 30211.30 2899.497 -100.860
    1.10 27957.17 2794.483  179.418
    0.80 23378.05 1253.368  388.456
    0.70 19351.74  361.998   83.019
    0.00 16087.18 1638.403 -577.071
    0.60 16905.14   48.401  280.322
    0.80 26657.79 1178.993  162.705
    0.00 15562.75 3133.218   37.464
    0.30 17185.95  471.506  162.469
    0.60 17612.42   79.673  301.520
    0.20 16852.66 1020.797 -227.222
    0.40 21408.59    7.584  -80.289
    0.00 14106.27 4932.269  440.774
    0.00 15461.01 2403.228  314.346
    0.60 21096.75   77.131    1.306
    0.00 17205.28 2534.714  177.509
    0.60 23573.24  273.078 -138.632
    0.40 18076.77   42.577  119.303
    0.00 16106.50 2676.025   33.789
    0.90 21154.54 1865.259  217.684
    0.20 17007.75  734.542  183.001
    1.70 33294.74 5892.806  443.254
    1.20 23571.93 2779.336   68.957
    0.60 21247.76   88.447 -126.174
    0.10 17387.81 1286.890  410.537
    0.70 19570.70  294.008   70.016
    1.90 26346.86 7785.262  187.074
    0.00 16407.74 1775.912  116.270
    0.30 16391.04  698.443 -484.827
    0.30 18349.11  525.254 -274.950
    0.70 23548.51  166.283  339.018
    0.00 18939.35 1560.764  188.078
    1.00 19918.18 1794.817  319.455
    1.00 25362.99 1633.873  445.316
    0.70 20702.21  453.869 -535.754
    0.70 20792.82  475.196   58.861
    0.80 18246.21  601.356   34.810
    0.50 17783.65    0.000  248.263
    0.00 17435.12 1548.682  373.921
    0.40 15241.64  127.605   91.585
    0.20 18798.41  925.514 -170.845
    0.60 17726.89  106.705 -186.427
    1.80 26367.86 8372.408  287.749
    0.70 19451.46  220.493 -210.912
    0.80 32665.86  725.699  -32.681
    0.50 16778.04    0.000   36.192
    1.10 21567.68 2952.030   96.106
    0.70 17495.89  157.325  318.299
    0.10 15508.44 1510.035   57.356
    0.00 14726.70 4225.476  455.865
    0.70 21670.42  244.000   82.397
    0.00 14418.19 3378.982  306.020
    1.20 23417.09 3602.840  -85.785
    1.90 22639.63 6070.892 -303.934
    0.00 15572.42 2073.982 -174.383
    0.40 23452.87  226.455    4.927
    0.10 14496.21 1843.237  251.820
    0.20 15928.63  501.747 -156.360
    0.50 16217.12    0.000   58.931
    0.70 24359.21  640.612  199.591
    0.20 16294.50 1157.179  305.493
    0.80 31547.89  534.196   40.743
    0.40 16082.40  127.719 -156.792
    0.20 15550.73 1546.530    6.668
    0.60 17683.89   48.109  -48.894
    0.40 15726.91  180.556  240.371
    0.00 15009.62 2109.375 -348.842
    0.20 17927.31  751.379  259.920
    1.70 29070.00 5531.546    5.830
    0.80 21525.44  846.816  -83.824
    0.20 15348.28 1312.676 -332.506
    2.40 30953.73 10334.178  -70.601
    1.00 28018.95 1726.721  -85.053
    0.20 15331.91 2158.689  -20.933
    0.00 15780.10 2012.265   17.687
    0.40 17559.10   47.433 -129.908
    0.10 15377.82 1930.655 -137.329
    0.20 16463.66  908.037   94.404
    0.70 17217.82  284.061 -113.342
    0.30 17353.61  506.578  395.419
    0.00 14171.45 3007.739  307.396
    0.60 26326.46   61.164  583.377
    0.00 15022.09 4202.987  401.427
    0.60 21157.58   42.839  129.124
    1.30 24386.46 4470.756  359.399
    0.00 15905.60 2551.829  382.230
    0.50 20847.04    0.000 -696.279
    0.20 16374.66 1750.820 -205.129
    0.20 17370.70 1250.902  149.687
    0.30 16467.57  637.408  -97.065
    0.20 17008.18 1450.537 -246.178
    0.00 18742.43 1577.966  160.230
    0.80 21548.20  761.348  -88.934
    0.70 16590.97  248.868 -118.769
    0.80 21642.37  577.714  198.593
    0.70 20008.42  219.697  545.629
    0.60 16978.81  133.757   79.914
    0.00 15588.38 2509.816    6.564
    0.40 15785.54  119.598   77.181
    1.10 25260.06 2841.575  218.638
    0.40 20470.56   44.702 -537.539
    0.00 17713.29 1831.385  157.161
    0.80 21336.05  661.567  372.991
    0.60 19051.32   45.092  228.792
    0.60 17557.68    4.686  475.777
    1.40 35758.14 3436.218  312.492
    3.20 26383.27 9360.094  270.151
    0.60 18322.12   70.885  591.696
    2.00 30917.46 6710.592  -55.952
    0.50 20177.22    0.000  499.701
    1.50 29170.64 4542.523   21.321
    0.80 25972.13  899.382  158.375
    0.00 15912.46 3734.687   57.708
    0.60 24364.05  106.818  279.278
    0.10 14966.36 2092.720  150.102
    1.90 26422.70 6819.472   87.868
    0.20 16468.46  962.241 -516.455
    1.00 24509.43 2388.667  338.767
    0.90 28179.54 1759.581 -115.213
    0.00 16149.86 3640.206  136.647
    0.80 21936.76  789.655  334.846
    0.70 17903.81  248.070  102.342
    3.00 33713.15 11890.839  -21.697
    0.90 30148.20  997.244  517.671
    0.80 20783.82 1038.681  548.790
    0.40 16704.27  108.503  482.956
    1.80 38927.52 4570.177   98.874
    0.40 22714.87    3.043  -68.297
    0.00 14925.96 2550.138 -331.860
    0.30 16283.34  472.426   44.935
    0.60 18980.56  220.626  565.282
    1.00 23145.34 2012.060 -133.158
    0.80 19430.22  758.382  -60.809
    0.30 16460.29 1110.666  293.971
    0.30 15255.91  401.169  133.868
    0.70 20165.86  625.822  -91.590
    0.70 17546.90  309.555  267.647
    0.70 22490.63  485.209  160.203
    4.30 35063.49 15933.798   84.183
    0.30 15392.39  391.959  229.049
    0.30 15497.17  929.825  -81.303
    0.00 15636.14 2227.153 -119.017
    1.10 22275.55 2157.006  396.268
    1.00 23939.99 2096.202  159.829
    1.40 34145.29 3656.068  251.725
    0.00 15949.14 3475.937   64.026
    0.00 17331.13 2851.023  101.184
    0.50 17341.24    0.000   69.316
    0.10 15963.52 1626.384 -114.379
    0.40 21148.34  227.775  192.427
    0.90 27691.91 1297.672  443.386
    0.80 22780.26  985.948  164.102
    0.00 15688.63 4193.384 -683.107
    0.90 21950.25 1505.206  272.769
    0.20 15851.57  940.420 -137.480
    0.10 15539.97 1854.369 -695.745
    0.30 16149.97  389.366 -112.717
    0.50 17279.87    0.000  699.929
    0.00 15362.83 2563.819 -611.645
    1.40 28946.72 4185.874 -235.749
    0.00 17092.30 2686.398  265.815
    0.00 15793.10 2213.561  697.954
    0.00 16262.78  997.463 -140.310
    0.70 18085.84  509.430   28.036
    0.60 17686.03  112.234 -357.501
    1.10 25742.02 2891.995 -170.045
    0.70 19699.50  651.906  476.477
    1.10 22323.74 2110.876  133.042
    0.30 15126.61  558.483  155.774
    1.20 29786.93 2793.055  115.750
    0.30 15573.99  273.026  -74.788
    0.20 17550.03 1607.427 -160.531
    0.60 24426.36   65.970 -134.594
    2.20 40188.00 5575.568  254.481
    0.50 19687.59    0.000  206.615
    0.00 14304.89 4656.861   72.566
    1.00 19985.18 2109.469  -59.069
    0.50 15619.62    0.000   -6.684
    0.60 21007.49  127.210 -249.625
    0.00 14718.47 3822.631  289.331
    0.40 17011.29   37.790 -146.231
    0.20 15984.92 1064.917   37.427
    0.10 19194.71 1036.909  438.676
    0.00 15049.07 4822.679 -192.963
    0.50 19246.23    0.000   85.569
    0.00 16279.37 1491.983  621.061
    1.00 27737.24 2236.096   42.481
    0.20 16542.59 1298.600  -34.559
    0.00 15740.47 2078.508  381.751
    0.30 19754.46  311.498 -318.718
    0.30 18422.66  486.818  379.700
    0.10 15892.00 2088.468 -502.715
    1.50 25083.39 4227.917  393.118
    0.60 30935.41  149.163    8.463
    0.30 18991.64  385.156  235.496
    0.90 21154.67 1480.402  396.543
    0.50 18092.93    0.000 -172.939
    0.10 15275.18 2533.210  -33.142
    0.30 17393.63  422.714 -247.994
    1.40 22086.96 6997.762   -2.068
    0.70 16404.91  562.031 -104.883
    0.00 15228.40 2288.965  -22.386
    0.00 13325.93 4995.174  425.126
    0.20 18645.28  762.961  541.277
    0.40 15039.59   94.087  189.480
    0.70 18105.04  524.343  151.342
    0.10 15534.07 1789.423 -152.713
    2.00 38051.03 4938.090  307.633
    0.10 16213.32 1484.841  107.804
    0.00 13895.87 5599.276 -307.703
    0.20 19109.49 1036.800 -252.893
    0.30 19184.53  304.915  252.373
    1.70 25323.99 5526.637  152.541
    1.20 20593.52 3878.190  168.840
    0.80 19854.76  941.101  432.762
    0.50 16942.92    0.000 -246.925
    0.50 28328.52    0.000  255.152
    0.50 16717.41    0.000  195.749
    0.30 20374.49  552.095 -184.833
    0.80 20205.60  749.703  108.426
    0.50 21802.84    0.000 -173.570
    0.20 14939.09 1325.638 -167.840
    0.00 14345.33 4678.980  125.039
    0.60 15506.62  201.850  481.989
    0.20 18489.17  692.031   -2.566
    0.30 17136.62  592.654 -299.191
    1.60 30550.29 4598.421  -78.273
    0.00 18336.76 2137.600  599.760
    0.60 20076.85   71.598  272.586
    0.00 14269.09 3205.567  -11.471
    0.00 15638.20 2925.370  141.071
    1.20 27130.25 3395.699  214.910
    0.20 13890.04  725.370 -162.113
    2.10 29826.12 7258.211  439.783
    1.20 26280.81 3748.139  -28.620
    0.30 17003.49  264.436   48.097
    0.00 14479.34 5570.529  175.111
    0.00 13187.56 4549.051 -126.382
    0.00 14870.60 3320.592    4.013
    0.40 22123.33   17.640  415.982
    0.70 26175.16  387.601  400.172
    0.80 20054.33 1062.596  594.775
    0.80 22837.56 1130.791  -29.196
    0.00 15449.39 3412.375  100.025
    0.20 16374.38 1399.173 -256.215
    0.20 16537.87 1639.648  216.044
    0.40 15425.99  145.619   85.014
    0.30 15176.30  450.976   53.592
    0.40 23088.65   41.739  294.995
    0.00 14628.29 2290.275   41.285
    0.80 19698.23  867.407 -236.330
    0.30 15321.83  316.594  341.401
    0.40 15538.90  200.364 -264.049
    0.40 18460.55  187.824  220.155
    3.60 36997.36 11065.568  -81.656
    0.00 17597.43  971.745  175.384
    0.70 28531.64  295.571 -109.034
    0.40 16553.19   61.090  272.725
    0.90 27882.85 1419.832  208.217
    1.00 22461.76 1718.033 -161.598
    0.20 20794.99  762.207  658.277
    0.20 17335.70  950.813  210.214
    0.50 21934.09    0.000  376.033
    0.00 14525.91 4784.189  108.474
    0.30 18270.85  372.803 -415.690
    0.00 14752.85 3108.987   28.596
    0.00 14456.03 4923.435   13.186
    0.80 22257.59  744.191 -186.532
    0.40 18173.42   95.965   87.350
    0.00 13940.19 4841.645  378.790
    0.00 17170.78 2126.215 -193.402
    0.00 15045.82 2291.273  615.827
    0.70 21887.34  426.778  213.596
    0.00 15379.65 2410.873   84.342
    1.60 25259.45 4901.824  408.800
    0.50 18461.23    0.000  266.864
    0.30 17496.18  248.488  182.927
    0.00 15843.78 2718.273 -481.786
    1.30 20779.87 2940.513  -34.935
    0.00 15497.25 1801.052  330.856
    1.40 27174.55 5087.748   72.048
    0.20 16075.11 1296.972 -172.862
    0.70 25554.84  674.878  395.983
    0.00 14208.09 5719.536   75.065
    0.30 19252.08  702.189  187.848
    0.20 14801.77 1346.378  332.609
    0.70 20326.51  536.877  292.839
    0.00 14722.34 2428.627 -185.524
    0.30 16117.90  524.096  228.180
    0.80 19112.95  865.365 -160.372
    0.60 17292.47  133.200  245.579
    0.00 14663.99 3423.485  403.413
    0.10 15016.19 1846.056   13.749
    0.00 17428.19 2237.865   86.218
    0.80 29281.23 1058.069 -163.720
    3.60 39854.32 9513.823  309.380
    0.00 14408.44 3320.407 -167.335
    0.30 17830.21  706.134  351.477
    0.70 19750.37  523.557  233.287
    0.30 23364.19  285.939 -206.413
    0.20 19726.15  597.157  -71.053
    1.10 28643.13 2808.968  196.246
    0.10 15577.18  942.554  212.913
    1.30 27135.93 4617.739  425.681
    0.40 15439.34  258.674  143.334
    0.00 15227.75 2505.841 -180.399
    0.00 16214.83 2264.986   52.128
    0.90 23640.59 1450.364  440.974
    0.30 18994.26  292.832  112.566
    0.00 14517.55 4776.176  195.730
    1.10 27209.38 2641.117  175.169
    0.00 15622.29 1658.556   20.481
    1.20 28304.43 3142.821   84.892
    0.80 24949.21  908.563   65.641
    0.70 22653.59  588.533   13.193
    0.60 26126.25   55.257    9.618
    0.40 18886.46   63.448   31.875
    0.20 17096.81  805.729  498.621
    0.20 16258.81 1481.517  246.033
    0.40 16573.96  108.255  111.814
    0.90 22681.00 1409.581  284.943
    0.20 16381.39 1253.572  323.051
    0.00 13540.08 5342.149 -130.615
    0.30 19259.15  471.292 -486.681
    0.50 28288.18    0.000  146.601
    1.30 24358.66 4196.362  339.764
    0.30 15702.61  492.475   28.615
    0.50 17932.51    0.000 -239.326
    0.70 19284.85  583.297  358.531
    0.70 18856.13  234.365  485.755
    0.70 18617.59  531.553  110.025
    1.20 25140.24 2745.529 -283.139
    0.70 21211.73  256.379  204.327
    0.40 17085.54  101.816  228.391
    1.40 26812.06 4747.673  129.227
    0.00 15707.24 2193.912   12.237
    0.00 15081.91 3083.315  197.288
    0.50 18186.61    0.000   93.710
    1.00 22094.39 2271.456   36.989
    0.00 18316.89 1455.797  183.954
    0.40 16515.49  105.011  190.894
    0.60 17013.58  101.056 -123.480
    0.40 14403.85   81.576  105.837
    0.60 19273.68  117.876 -452.153
    0.00 14839.63 2220.505   -3.826
    0.60 20315.17  141.720 -301.921
    0.30 14510.73  239.205   68.341
    0.00 15555.49 2609.533   35.842
    0.50 19194.67    0.000  231.301
    0.20 15133.12 1130.328   -5.730
    1.30 31539.37 3115.306  173.592
    0.70 20728.87  395.154   42.685
    0.50 19552.67    0.000  189.533
    0.60 16560.25    2.249 -286.841
    0.80 20625.77  732.828  342.530
    1.10 33432.47 2734.250  -22.685
    1.40 28794.98 3465.418  260.929
    0.00 15343.64 2566.319  264.361
    0.70 24583.97  272.098  -43.753
    0.20 15720.81 1763.194  217.389
    1.40 32368.85 4879.344  139.303
    1.10 22218.00 2471.387  116.983
    0.30 17489.68  674.468  368.491
    0.90 23810.43 1203.888 -126.111
    0.30 15938.24  989.928  283.879
    1.60 35209.84 6614.274 -485.410
    0.30 16071.13  797.311  -27.924
    0.00 15027.84 2646.070 -266.324
    0.50 19237.96    0.000  254.400
    1.20 29771.83 2735.149  191.367
    0.40 18450.68    3.690   62.891
    0.60 19000.34  188.310  232.240
    1.50 27036.09 4830.432  186.197
    0.90 33770.61 1608.109   -7.941
    1.50 31616.09 3879.181  336.349
    0.00 15784.58 3007.921 -247.052
    0.30 17161.34  532.528 -418.911
    0.30 16854.10  724.290  316.665
    0.70 21236.21  272.174 -263.762
    1.20 30852.79 3436.925  -68.491
    0.30 18261.96  594.869  -25.241
    0.50 17842.82    0.000   38.460
    0.00 16613.19 2225.942  390.832
    0.40 18858.72   86.486  -14.309
    0.90 23151.07 2006.020  312.185
    0.00 16258.25  522.343  -56.620
    0.20 15482.75 1648.760  218.592
    0.30 15809.69  441.207  485.831
    1.90 31267.74 7128.304 -214.441
    0.50 19252.72    0.000    4.626
    0.60 20490.09   94.113  573.200
