Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     1.910  -11400220.955  11376050   0.00307   0.00247
   2     1.950  -11400255.695  10615110  -0.00388   0.00759
   3     1.850  -11400124.302  10301727  -0.01489   0.01051
   4     1.850  -11400184.759  11531664  -0.00430   0.00036
   5     1.940  -11400162.528  11053244  -0.01323   0.00333
   6     1.870  -11400209.984  12021626   0.00205  -0.00243
   7     1.940  -11400137.212  11586239  -0.00206   0.00022
   8     1.890  -11400101.541  12402843   0.00432  -0.00736
   9     1.930  -11400146.603  11927103  -0.00783  -0.00171
  10     1.850  -11400252.701  10722136  -0.00915   0.00550
  11     1.930  -11400232.888  11803462   0.00483  -0.00301
  12     1.900  -11400217.887  11732247   0.00075  -0.00121
  13     1.840  -11400187.065  11460889  -0.00083  -0.00020
  14     2.040  -11400149.951  12006896   0.00058  -0.00156
  15     1.900  -11400249.446  11088801  -0.00544   0.00315
  16     1.970  -11400307.912  10273755   0.00504   0.00796
  17     1.890  -11400192.420  12877322   0.00527  -0.00950
  18     1.970  -11400194.005  10650536  -0.01085   0.00742
  19     1.870  -11400199.836  12384113   0.00646  -0.00644
  20     1.850  -11400264.241  11300786   0.00923   0.00199
  21     2.060  -11400216.757  11336351   0.00459   0.00225
  22     1.960  -11400168.710  11968667   0.00671  -0.00124
  23     1.880  -11400112.936  11637734  -0.00193   0.00088
  24     1.880  -11400292.293  10706617   0.01042   0.00541
  25     1.970  -11400188.534  11245221  -0.00087   0.00048
  26     1.950  -11400206.317  12020234   0.00390  -0.00384
  27     1.920  -11400288.361  11595675   0.00474  -0.00155
  28     1.940  -11400320.187  11828844   0.01036  -0.00442
  29     1.870  -11400247.208  11540173   0.00474  -0.00096
  30     1.950  -11400157.501  13213619   0.00244  -0.00901
  31     1.960  -11400235.432  11290042   0.00290   0.00072
  32     1.870  -11400289.076  10264745  -0.00129   0.00796
  33     1.970  -11400301.391  11580960   0.00182   0.00077
  34     1.860  -11400329.028  10786511   0.00113   0.00515
  35     1.950  -11400101.282  11617295  -0.00408   0.00017
  36     1.930  -11400087.550  11964047  -0.00754  -0.00336
  37     2.000  -11400247.371  11079564   0.00082   0.00162
  38     1.940  -11400151.503  13271535   0.00194  -0.01345
  39     1.950  -11400134.630  11251713   0.00039   0.00122
