Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     0.600  -18625704.634  829941  -0.00270  -0.00072
   2     0.600  -18625636.278  867232   0.00108  -0.00192
   3     0.600  -18625662.274  669068  -0.00145   0.00288
   4     0.600  -18625614.270  1000726  -0.00092  -0.00759
   5     0.600  -18625692.563  552600  -0.00215   0.00532
   6     0.600  -18625738.477  610972   0.00583   0.00417
   7     0.600  -18625699.979  663483   0.00327   0.00271
   8     0.600  -18625702.831  605110  -0.00157   0.00378
   9     0.600  -18625643.027  1050779   0.00487  -0.00715
  10     0.600  -18625724.121  591476   0.00138   0.00429
  11     0.600  -18625654.298  856579  -0.00705  -0.00244
  12     0.600  -18625624.996  602168  -0.02214   0.00400
  13     0.600  -18625626.387  1136776   0.00806  -0.01003
  14     0.600  -18625672.061  704368  -0.00506   0.00204
  15     0.600  -18625686.837  951040  -0.00589  -0.00606
  16     0.600  -18625679.071  1038616   0.01477  -0.00538
  17     0.600  -18625646.777  588021   0.00438   0.00454
  18     0.600  -18625682.306  760674   0.00185  -0.00015
  19     0.600  -18625673.358  1101635   0.00237  -0.00860
  20     0.600  -18625577.703  592355  -0.00555   0.00420
  21     0.600  -18625642.295  619293   0.00539   0.00409
  22     0.700  -18625648.491  1060811  -0.00623  -0.00863
  23     0.600  -18625725.439  827321   0.00182  -0.00145
  24     0.600  -18625625.758  654000   0.00589   0.00247
  25     0.600  -18625614.117  570445  -0.00218   0.00491
  26     0.600  -18625727.036  599413   0.00428   0.00408
  27     0.600  -18625597.555  640789   0.00527   0.00360
  28     0.600  -18625539.339  960945   0.00492  -0.00544
  29     0.600  -18625676.973  886701  -0.00510  -0.00261
  30     0.600  -18625601.046  871180  -0.00052  -0.00252
  31     0.600  -18625682.855  754628   0.01101  -0.00069
  32     0.600  -18625590.497  810984  -0.00068  -0.00101
  33     0.600  -18625628.875  624800  -0.00426   0.00383
  34     0.600  -18625666.646  709714   0.00101   0.00167
  35     0.600  -18625713.858  581420   0.01129   0.00495
  36     0.600  -18625648.546  581574   0.00325   0.00472
  37     0.700  -18625605.022  1050060  -0.00606  -0.00946
  38     0.600  -18625677.175  559425   0.00273   0.00524
  39     0.600  -18625640.919  965558  -0.00238  -0.00482
  40     0.600  -18625699.112  754523   0.00314   0.00005
  41     0.600  -18625686.330  575313  -0.00567   0.00442
  42     0.600  -18625658.152  702042  -0.00185   0.00126
