Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     0.200  -41399746.387  10626848  -0.00627  -0.00718
   2     0.200  -41400204.474  10538005  -0.00948  -0.00956
   3     0.200  -41400382.017  8306315   0.02179   0.00607
   4     0.200  -41400133.646  9497631   0.00655   0.00128
   5     0.200  -41400084.590  11211930  -0.01498  -0.00579
   6     0.200  -41400022.681  12777907  -0.01451  -0.01280
   7     0.200  -41400142.387  8809061   0.00286   0.00509
   8     0.200  -41400281.641  11871695   0.00493  -0.00869
   9     0.200  -41400228.119  9770466   0.01890   0.00479
  10     0.200  -41400215.622  7991164   0.00314   0.00782
  11     0.200  -41400034.707  11638780  -0.00890  -0.00872
  12     0.200  -41400297.021  9257692   0.00749   0.00450
  13     0.200  -41400002.480  11229047  -0.01390  -0.00686
  14     0.200  -41400206.136  8132319  -0.00715   0.00826
  15     0.200  -41400034.388  10628573  -0.00202  -0.00560
  16     0.200  -41399907.228  8834935  -0.01598   0.00087
  17     0.200  -41399851.647  8855554   0.01347   0.00246
  18     0.200  -41400032.694  10131422  -0.00232  -0.00540
  19     0.200  -41399699.360  11833290   0.00822  -0.00957
  20     0.200  -41400000.890  9678612   0.00876  -0.00088
  21     0.200  -41400259.700  7969102   0.00442   0.00670
  22     0.200  -41400082.531  9111752  -0.01129  -0.00029
  23     0.200  -41400081.129  8136875  -0.00291   0.00853
  24     0.200  -41400058.645  11001636  -0.00986  -0.00630
  25     0.200  -41400021.756  8694710  -0.00723   0.00298
  26     0.200  -41400522.933  8181008  -0.00519   0.00362
  27     0.200  -41400127.273  9781232   0.01208   0.00485
  28     0.200  -41399937.018  10073974  -0.00073   0.00492
  29     0.200  -41400181.226  8299781   0.00122   0.00598
  30     0.200  -41399985.491  9227228  -0.00599   0.00086
  31     0.200  -41400096.620  9076341  -0.00134   0.00448
  32     0.200  -41400082.820  10340803  -0.00394  -0.00661
  33     0.200  -41400500.981  7943805  -0.00206   0.00870
  34     0.200  -41400124.086  9710499   0.00304  -0.00026
  35     0.200  -41400164.421  9827646   0.00132  -0.00135
  36     0.200  -41400008.096  10413938  -0.00785   0.00095
  37     0.200  -41400387.694  8386591  -0.00351   0.00321
  38     0.200  -41400226.515  8080070  -0.00707   0.00578
  39     0.200  -41400165.741  9631146   0.00630  -0.00302
  40     0.200  -41400067.753  9882176  -0.00298   0.00026
  41     0.200  -41399895.933  7857995  -0.00702   0.00732
  42     0.200  -41400219.643  8498854  -0.01581   0.00633
  43     0.200  -41399945.157  11255653  -0.00189  -0.00597
  44     0.200  -41400100.843  10611780   0.01076  -0.00018
  45     0.200  -41400231.578  9161119  -0.00296  -0.00176
  46     0.200  -41400391.396  9043646   0.00031   0.00546
  47     0.200  -41399548.070  8891280  -0.01868   0.00120
  48     0.200  -41400313.680  8250892   0.00104   0.00416
  49     0.200  -41400106.782  10459068   0.01231  -0.00213
  50     0.200  -41399871.927  11047850  -0.01323  -0.00682
  51     0.200  -41400057.623  9672009   0.02083   0.00137
  52     0.200  -41400361.368  8104304   0.00369   0.00822
  53     0.200  -41399846.344  9678002  -0.01093  -0.00388
  54     0.200  -41400115.054  8803405  -0.00524  -0.00061
  55     0.200  -41400412.613  9285205  -0.00785   0.00028
  56     0.200  -41400054.431  10852107  -0.00214   0.00003
  57     0.200  -41400082.350  10969272  -0.01075  -0.00957
  58     0.200  -41399557.060  11573511  -0.01919  -0.00401
  59     0.200  -41400463.717  8291302   0.01011   0.00822
  60     0.200  -41400214.940  11363006   0.00390  -0.01023
  61     0.200  -41399931.255  10726943  -0.00933  -0.00813
  62     0.200  -41399916.921  10942402  -0.00285  -0.00590
  63     0.200  -41400007.754  9488833   0.00036  -0.00225
  64     0.200  -41400224.811  8812197   0.00005   0.00371
  65     0.200  -41400146.237  8812627   0.01009   0.00654
  66     0.200  -41399979.828  11126429   0.00656  -0.00125
  67     0.200  -41399852.528  10089271   0.00000  -0.00086
  68     0.200  -41400178.911  10313506   0.00780  -0.00188
  69     0.200  -41400128.139  8743900   0.01661   0.00381
  70     0.200  -41400089.352  7442744   0.00418   0.00997
  71     0.200  -41400114.499  10836361   0.00963  -0.00195
  72     0.200  -41399800.537  12216081   0.01094  -0.00987
  73     0.200  -41400170.172  10318772   0.00447   0.00229
  74     0.200  -41400271.250  8989453   0.00019   0.00049
  75     0.200  -41400355.354  8824179   0.00870   0.00380
  76     0.200  -41400569.008  9437865  -0.00363   0.00257
  77     0.200  -41400145.269  11001094   0.00892  -0.00952
  78     0.200  -41399985.662  10052890  -0.01060  -0.00120
  79     0.200  -41400081.115  10179826   0.00467   0.00052
  80     0.200  -41400007.593  10727404  -0.00900  -0.01003
  81     0.200  -41400145.767  8789681  -0.00574   0.00509
  82     0.200  -41400035.153  10658195   0.02184  -0.00166
  83     0.200  -41400098.046  9242009  -0.00152  -0.00043
  84     0.200  -41400118.947  9201203   0.00340   0.00219
