Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)

   1     3.490  -11248506.362  17565692   0.00314  -0.00140
   2     3.510  -11248480.588  17047549  -0.00308  -0.00269
   3     3.510  -11248245.682  16175514  -0.00513   0.00351
   4     3.620  -11248319.640  17265080  -0.00085  -0.00262
   5     3.390  -11248193.862  17947672  -0.00087  -0.00166
   6     3.180  -11248525.183  18459885   0.00766  -0.00675
   7     3.660  -11248097.387  16798518  -0.00876  -0.00032
   8     3.370  -11248339.480  16537940  -0.00547   0.00266
   9     3.450  -11248481.498  16817832   0.00732   0.00487
  10     3.470  -11248547.461  17989691   0.00803  -0.00293
  11     3.650  -11248292.683  16771087  -0.00603   0.00057
  12     3.630  -11248453.773  15207345   0.00271   0.00842
  13     3.450  -11248350.820  18592317   0.00522  -0.00350
  14     3.650  -11248457.357  16689489  -0.00105  -0.00061
  15     3.480  -11248408.537  17123673   0.00256   0.00401
  16     3.610  -11248527.574  15808651   0.00210   0.00681
  17     3.560  -11248193.577  18824158  -0.00387  -0.00792
  18     3.590  -11248581.592  16875176  -0.00214  -0.00152
  19     3.520  -11248422.749  16895060  -0.00032   0.00133
  20     3.720  -11248473.851  15493524  -0.01153   0.00782
  21     3.550  -11248084.801  18474384  -0.00553  -0.00668
  22     3.550  -11248276.724  18192264  -0.00131  -0.00323
  23     3.810  -11247882.406  18035377  -0.01487  -0.00527
  24     3.640  -11248364.077  16056397   0.00039   0.00730
  25     3.530  -11248431.879  16389658   0.00176   0.00359
  26     3.470  -11248596.452  18293477   0.01456  -0.00726
  27     3.500  -11248614.031  16774810   0.01019   0.00245
  28     3.620  -11247981.875  18086715   0.00054  -0.00384
  29     3.510  -11248532.465  16350963   0.00768   0.00256
  30     3.600  -11248252.539  18129287  -0.00614  -0.00853
  31     3.600  -11248194.804  17107346   0.00261  -0.00037
  32     3.460  -11248586.554  15967851   0.00269   0.00963
  33     3.460  -11248557.808  16784038   0.00596  -0.00082
  34     3.460  -11248429.969  18591500   0.01248  -0.00467
  35     3.540  -11248503.385  16892062   0.00544  -0.00174
  36     3.540  -11248523.111  14397275  -0.00841   0.01311
  37     3.410  -11248487.453  17657736   0.00298  -0.00121
  38     3.540  -11248433.792  18550525   0.00478  -0.00704
  39     3.420  -11248253.986  18571238   0.00372  -0.00853
  40     3.520  -11248413.817  17630091  -0.00095  -0.00509
